dataset,best_method,best_method_label,accuracy,tree_nodes,mean_axp_length,fit_time_seconds
HTRU_2-bin,unary,Unary,0.976103557459,111.9,2.27664369529,0.08170480515
IndiansDiabetes-bin,cals,CALS-MDT,0.740652173913,14.1,3.87086956522,22.7379417081
Statlog_satellite-bin,cals,CALS-MDT,0.95954887218,24.1,4.16627819549,3.8624830775
adult_discretized,affine,Boolean Affine/GF(2),0.852750275028,118.5,7.86766226623,1.1694975453
anneal,cals,CALS-MDT,0.856147540984,12.8,5.03217213115,1.0185035922
audiology,horn,Horn,0.955384615385,14.2,3.39846153846,0.0022856229
australian-credit,cals_compact_explain,CompactExplain,0.864030612245,5.8,1.35790816327,1.58234645125
balance-scale-bin,cals,CALS-MDT,0.917379679144,1.7,0.11577540107,10.4039042647
bank_conv-bin,unary,Unary,0.902028023599,93.1,6.44174041298,0.0705916612
banknote-bin,square2cnf,Square2CNF,0.990169902913,30.2,5.05351941748,0.0520978568
biodeg-bin,cals,CALS-MDT,0.818037974684,20.3,5.12753164557,21.6991984549
breast-cancer-un,cals,CALS-MDT,0.943414634146,5.8,2.52975609756,9.73645080595
breast-wisconsin,cals,CALS-MDT,0.950243902439,7,2.7043902439,7.03464505175
car-un,square2cnf,Square2CNF,0.968146718147,31.2,3.60743243243,0.070819271
car_evaluation-bin,smart_certified,SmartCertified,0.941602316602,38.4,2.58465250965,0.01382017665
compas_discretized,unary,Unary,0.670972972973,107.1,4.32481081081,0.01146306335
diabetes,unary,Unary,0.743695652174,83.5,5.34217391304,0.0116845
forest-fires-un,smart_certified,SmartCertified,0.543548387097,18.5,4.58322580645,0.13818001955
german-credit,cals_compact_explain,CompactExplain,0.728333333333,12.9,2.92883333333,4.28161149315
heart-cleveland,cals,CALS-MDT,0.776404494382,7,2.79101123596,12.6688868009
hepatitis,cals,CALS-MDT,0.856097560976,2.6,1.01951219512,5.11134670465
hypothyroid,unary,Unary,0.979620123203,42.3,1.93157084189,0.01056568275
ionosphere,cals,CALS-MDT,0.878095238095,5.9,2.17380952381,2.076999097
kr-vs-kp,cals_compact_explain,CompactExplain,0.987851929093,28.5,4.22841501564,4.4636687793
letter,square2cnf,Square2CNF,0.989041666667,72.9,6.22545833333,1.48021846135
letter_recognition-bin,antihorn,AntiHorn,0.995508333333,61.6,6.15815833333,0.34990303145
lymph,smart_certified,SmartCertified,0.819318181818,21.7,3.675,0.0113720967
magic04-bin,square2cnf,Square2CNF,0.837372940764,138.6,7.6202593761,3.3813216364
messidor-bin,cals_compact_explain,CompactExplain,0.643043478261,9.4,2.5484057971,0.1615322539
mushroom,cals_compact_explain,CompactExplain,1,9.8,4.93799753796,1.87662085345
pendigits,smart_certified,SmartCertified,0.996152135231,43.7,3.72726868327,0.70382881865
primary-tumor,cals_compact_explain,CompactExplain,0.815346534653,11.1,1.8396039604,1.78545328895
segment,affine,Boolean Affine/GF(2),0.997402597403,11.4,5.75793650794,0.01998266065
seismic_bumps-bin,cals_compact_explain,CompactExplain,0.922322580645,1,0,3.5369634073
soybean,cals,CALS-MDT,0.941798941799,12.8,4.04338624339,11.0547610427
splice-1,unary,Unary,0.954806687565,74.3,4.29122257053,0.05816066145
taiwan_binarised,cals,CALS-MDT,0.821172222222,11.7,1.81035,5.87295132605
tic-tac-toe,horn,Horn,0.917595818815,47.2,4.72613240418,0.0060698608
titanic-un,cals,CALS-MDT,0.818609022556,16.3,2.96936090226,8.383819125
vehicle,smart_certified,SmartCertified,0.946062992126,36.6,3.95590551181,0.09181428895
vote,cals_compact_explain,CompactExplain,0.944615384615,6.2,1.92307692308,1.51583271945
wine1-un,antihorn,AntiHorn,0.708490566038,13,10.2018867925,0.01830983415
wine2-un,antihorn,AntiHorn,0.664150943396,15.7,10.4245283019,0.01833936445
wine3-un,cals,CALS-MDT,0.750943396226,3.8,4.05283018868,0.3592455467
winequality-red-bin,cals_compact_explain,CompactExplain,0.99375,1,0,0.37948315045
yeast,cals,CALS-MDT,0.717303370787,21.4,3.88842696629,2.067359269
