comparison,left_method,right_method,metric,metric_label,pairs,left_mean,right_mean,mean_difference_right_minus_left,wilcoxon_statistic,p_value,bootstrap_mean,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_resamples,bootstrap_seed,cliffs_delta_right_vs_left,cliffs_interpretation,cohens_d_paired,cohens_interpretation,p_value_adjusted_holm,significant_holm_0_05
SmartCertified vs CALS-MDT,smart_certified,cals,accuracy,Accuracy,46,0.859578127852,0.864819503305,0.0052413754534,273,0.00578356264159,0.00522154066122,0.00135486663889,0.00915029699908,10000,772665147,0.0344990548204,negligible,0.385480621285,small,0.028917813208,True
SmartCertified vs CALS-MDT,smart_certified,cals,tree_nodes,Tree nodes,46,50.6891304348,12.7304347826,-37.9586956522,0,3.52200915351e-09,-37.9332982609,-45.817826087,-30.6803804348,10000,3695045555,-0.862948960302,large,-1.41056381354,large,4.57616533279e-08,True
SmartCertified vs CALS-MDT,smart_certified,cals,predicate_literals,Predicate literals,46,30.122826087,14.9358695652,-15.1869565217,72,1.03763682091e-08,-15.1650363043,-19.7099728261,-10.8717391304,10000,800444694,-0.551512287335,large,-0.978042193295,large,1.141400503e-07,True
SmartCertified vs CALS-MDT,smart_certified,cals,mean_axp_length,Mean AXp length,46,4.18393169735,2.97644506946,-1.20748662789,146,4.40959132675e-06,-1.20991864853,-1.63518070004,-0.767516566914,10000,388174390,-0.491493383743,large,-0.802639231073,large,3.08671392872e-05,True
SmartCertified vs CALS-MDT,smart_certified,cals,fit_time_seconds,Fit time (seconds),46,0.730557452099,8.89451247115,8.16395501905,46,5.44588374396e-10,8.18329111413,5.60939429883,11.0623291923,10000,3678664346,0.870510396975,large,0.845317726478,large,7.62423724154e-09,True
SmartCertified vs CompactExplain,smart_certified,cals_compact_explain,accuracy,Accuracy,46,0.859578127852,0.860157371442,0.000579243590375,525,0.871068512183,0.000579636415905,-0.00363515264734,0.00457654826303,10000,490820238,0,negligible,0.0409591140776,negligible,0.871068512183,False
SmartCertified vs CompactExplain,smart_certified,cals_compact_explain,tree_nodes,Tree nodes,46,50.6891304348,11.1239130435,-39.5652173913,0,3.52012717907e-09,-39.68419,-49.0460869565,-30.989076087,10000,2902331517,-0.909735349716,large,-1.25353255246,large,4.57616533279e-08,True
SmartCertified vs CompactExplain,smart_certified,cals_compact_explain,predicate_literals,Predicate literals,46,30.122826087,12.7858695652,-17.3369565217,95,9.04932164758e-08,-17.3273652174,-23.1479619565,-11.7499728261,10000,948814729,-0.647448015123,large,-0.865712630977,large,9.04932164758e-07,True
SmartCertified vs CompactExplain,smart_certified,cals_compact_explain,mean_axp_length,Mean AXp length,46,4.18393169735,2.72133708791,-1.46259460944,139,2.74166390568e-06,-1.46368455199,-1.96216557284,-0.956809931076,10000,3124303333,-0.617202268431,large,-0.821316519505,large,2.19333112454e-05,True
SmartCertified vs CompactExplain,smart_certified,cals_compact_explain,fit_time_seconds,Fit time (seconds),46,0.730557452099,2.86113303035,2.13057557825,122,8.05747987442e-07,2.13895315142,1.13210160005,3.29987735176,10000,1396879113,0.697542533081,large,0.568134892009,medium,7.25173188698e-06,True
CALS-MDT vs CompactExplain,cals,cals_compact_explain,accuracy,Accuracy,46,0.864819503305,0.860157371442,-0.00466213186302,242,0.00187264459659,-0.00465862908089,-0.00730247360283,-0.0021712425713,10000,807543327,-0.0321361058601,negligible,-0.522977661617,medium,0.0112358675796,True
CALS-MDT vs CompactExplain,cals,cals_compact_explain,tree_nodes,Tree nodes,46,12.7304347826,11.1239130435,-1.60652173913,443.5,0.403534526548,-1.61024934783,-3.51086956522,0.10222826087,10000,4268291651,-0.105387523629,negligible,-0.253325557017,small,0.807069053096,False
CALS-MDT vs CompactExplain,cals,cals_compact_explain,predicate_literals,Predicate literals,46,14.9358695652,12.7858695652,-2.15,382.5,0.127550780559,-2.14419119565,-4.10983695652,-0.317336956522,10000,1693151633,-0.13752362949,negligible,-0.328065261942,small,0.382652341678,False
CALS-MDT vs CompactExplain,cals,cals_compact_explain,mean_axp_length,Mean AXp length,46,2.97644506946,2.72133708791,-0.25510798155,328,0.0324363936717,-0.254774440374,-0.543293139621,0.0574027633866,10000,2342214814,-0.125236294896,negligible,-0.243414212553,small,0.129745574687,False
CALS-MDT vs CompactExplain,cals,cals_compact_explain,fit_time_seconds,Fit time (seconds),46,8.89451247115,2.86113303035,-6.0333794408,0,2.84217094304e-14,-6.03722889266,-7.88106512941,-4.33090774402,10000,713733382,-0.496219281664,large,-0.965462190747,large,4.26325641456e-13,True
