method,method_label,metric,metric_label,n,mean,median,variance,std,minimum,maximum,ci_lower,ci_upper,confidence_level
unary,Unary,accuracy,Accuracy,46,0.858646328242,0.901415081318,0.0138787437567,0.117808080184,0.543225806452,0.99977431268,0.823661646853,0.893631009632,0.95
unary,Unary,tree_nodes,Tree nodes,46,53.2347826087,44.05,983.709874396,31.3641495086,11.4,142.5,43.9207799029,62.5487853145,0.95
unary,Unary,predicate_literals,Predicate literals,46,26.1173913043,21.525,245.927468599,15.6820747543,5.2,70.75,21.4603899514,30.7743926573,0.95
unary,Unary,mean_axp_length,Mean AXp length,46,3.92664830654,3.91628005658,1.4351529801,1.19797870603,1.49973262032,6.75916666667,3.57089254449,4.28240406859,0.95
unary,Unary,fit_time_seconds,Fit time (seconds),46,0.0471958047913,0.011573781675,0.0087879750577,0.0937442001283,0.0010949127,0.52414435755,0.0193572136823,0.0750343959003,0.95
horn,Horn,accuracy,Accuracy,46,0.85968979847,0.902890500528,0.0142458826331,0.119356116865,0.536451612903,0.999876897825,0.824245406932,0.895134190008,0.95
horn,Horn,tree_nodes,Tree nodes,46,51.2173913043,41.05,1061.10102415,32.5745456477,11.4,145.7,41.543945314,60.8908372947,0.95
horn,Horn,predicate_literals,Predicate literals,46,50.2173913043,40.05,1061.10102415,32.5745456477,10.4,144.7,40.543945314,59.8908372947,0.95
horn,Horn,mean_axp_length,Mean AXp length,46,5.13710680159,5.11005935976,2.28070388301,1.51019994802,1.5935828877,8.97616666667,4.68863277559,5.58558082759,0.95
horn,Horn,fit_time_seconds,Fit time (seconds),46,0.0648340424924,0.016743939325,0.0181598989899,0.134758669443,0.00199796245,0.73887864125,0.0248156574417,0.104852427543,0.95
antihorn,AntiHorn,accuracy,Accuracy,46,0.85984770515,0.895946008449,0.0139900232212,0.118279428563,0.527741935484,0.999876897825,0.82472305057,0.894972359729,0.95
antihorn,AntiHorn,tree_nodes,Tree nodes,46,51.4869565217,39.7,1089.99671498,33.0150982881,11.4,138.8,41.6826825463,61.2912304972,0.95
antihorn,AntiHorn,predicate_literals,Predicate literals,46,50.4869565217,38.7,1089.99671498,33.0150982881,10.4,137.8,40.6826825463,60.2912304972,0.95
antihorn,AntiHorn,mean_axp_length,Mean AXp length,46,5.55335432282,5.11486184735,4.22925232056,2.056514605,1.76443850267,10.6481132075,4.94264486965,6.16406377599,0.95
antihorn,AntiHorn,fit_time_seconds,Fit time (seconds),46,0.066348312162,0.01721005125,0.0201892118451,0.14208874637,0.0019878537,0.801841236,0.0241531629583,0.108543461366,0.95
square2cnf,Square2CNF,accuracy,Accuracy,46,0.859064429142,0.890298868993,0.014311231873,0.119629561033,0.535161290323,0.999876897825,0.82353883471,0.894590023574,0.95
square2cnf,Square2CNF,tree_nodes,Tree nodes,46,50.8065217391,40.45,1112.86062319,33.3595656924,11.4,138.6,40.8999535716,60.7130899067,0.95
square2cnf,Square2CNF,predicate_literals,Predicate literals,46,99.6130434783,78.9,4451.44249275,66.7191313849,20.8,275.2,79.7999071431,119.426179813,0.95
square2cnf,Square2CNF,mean_axp_length,Mean AXp length,46,6.35726774494,6.12164878431,4.74770876141,2.17892376218,2.84660894661,11.3566666667,5.71020725917,7.00432823071,0.95
