method,structural_dataset_group,family,node_count
cals,affine_interaction,affine,138
cals,affine_interaction,antihorn,50
cals,affine_interaction,horn,112
cals,affine_interaction,square2cnf,357
cals,affine_interaction,unary,47
cals,antihorn_interaction,antihorn,408
cals,antihorn_interaction,horn,18
cals,antihorn_interaction,unary,69
cals,horn_interaction,horn,404
cals,horn_interaction,square2cnf,269
cals,horn_interaction,unary,192
cals,square2cnf_interaction,affine,50
cals,square2cnf_interaction,antihorn,128
cals,square2cnf_interaction,horn,418
cals,square2cnf_interaction,square2cnf,1077
cals,square2cnf_interaction,unary,400
cals,unary_dominant,affine,166
cals,unary_dominant,horn,634
cals,unary_dominant,square2cnf,168
cals,unary_dominant,unary,291
cals_compact_explain,affine_interaction,affine,159
cals_compact_explain,affine_interaction,antihorn,36
cals_compact_explain,affine_interaction,horn,80
cals_compact_explain,affine_interaction,square2cnf,349
cals_compact_explain,affine_interaction,unary,96
cals_compact_explain,antihorn_interaction,antihorn,286
cals_compact_explain,antihorn_interaction,horn,9
cals_compact_explain,antihorn_interaction,unary,49
cals_compact_explain,horn_interaction,horn,322
cals_compact_explain,horn_interaction,square2cnf,314
cals_compact_explain,horn_interaction,unary,320
cals_compact_explain,square2cnf_interaction,antihorn,92
cals_compact_explain,square2cnf_interaction,horn,332
cals_compact_explain,square2cnf_interaction,square2cnf,839
cals_compact_explain,square2cnf_interaction,unary,378
cals_compact_explain,unary_dominant,affine,122
cals_compact_explain,unary_dominant,horn,320
cals_compact_explain,unary_dominant,square2cnf,218
cals_compact_explain,unary_dominant,unary,336
