target,native_family,family,accuracy,nodes,literals,mean_axp,fit_time,accuracy_gap_from_best,node_ratio_vs_native,literal_ratio_vs_native
unary,unary,unary,1.0,3.0,1.0,1.0,0.0001000908,0.0,1.0,1.0
unary,unary,horn,1.0,5.0,4.0,1.0,0.00031866640000000003,0.0,1.6666666666666667,4.0
unary,unary,antihorn,0.9688311688311689,6.6,5.6,1.2519480519480521,0.00041379579999999995,0.031168831168831068,2.1999999999999997,5.6
unary,unary,square2cnf,1.0,3.0,4.0,1.0,0.0028631738,0.0,1.0,4.0
unary,unary,affine,1.0,7.0,8.0,1.0,0.0010514924,0.0,2.3333333333333335,8.0
horn_simple,horn,unary,1.0,5.0,2.0,1.2155844155844155,0.00012650579999999998,0.0,1.6666666666666667,1.0
horn_simple,horn,horn,1.0,3.0,2.0,1.2155844155844155,0.00024513720000000005,0.0,1.0,1.0
horn_simple,horn,antihorn,1.0,3.0,2.0,1.2155844155844155,0.0002478644,0.0,1.0,1.0
horn_simple,horn,square2cnf,1.0,3.0,4.0,1.2155844155844155,0.0029126842,0.0,1.0,2.0
horn_simple,horn,affine,1.0,9.0,10.0,1.2155844155844155,0.0010819032,0.0,3.0,5.0
horn_chain,horn,unary,0.9675324675324676,9.0,4.0,1.5727272727272728,0.0001648164,0.03246753246753242,1.2857142857142858,0.6666666666666666
horn_chain,horn,horn,1.0,7.0,6.0,1.7103896103896106,0.0004079992,0.0,1.0,1.0
horn_chain,horn,antihorn,0.9727272727272727,9.8,8.8,1.5675324675324673,0.00054583,0.027272727272727337,1.4000000000000001,1.4666666666666668
horn_chain,horn,square2cnf,1.0,7.0,12.0,1.7103896103896106,0.0056129118,0.0,1.0,2.0
horn_chain,horn,affine,0.964935064935065,15.0,17.0,1.6454545454545453,0.0014959976,0.03506493506493502,2.142857142857143,2.8333333333333335
antihorn_chain,antihorn,unary,0.9545454545454545,9.0,4.0,1.5597402597402596,0.00016604020000000002,0.045454545454545525,1.2857142857142858,0.6666666666666666
antihorn_chain,antihorn,horn,0.9519480519480519,10.2,9.2,1.6168831168831168,0.000510396,0.04805194805194812,1.457142857142857,1.5333333333333332
antihorn_chain,antihorn,antihorn,1.0,7.0,6.0,1.742857142857143,0.00042952980000000006,0.0,1.0,1.0
antihorn_chain,antihorn,square2cnf,1.0,7.0,12.0,1.742857142857143,0.0054848594,0.0,1.0,2.0
antihorn_chain,antihorn,affine,0.9480519480519479,15.0,17.0,1.690909090909091,0.0015101666,0.051948051948052076,2.142857142857143,2.8333333333333335
square_form_i,square2cnf,unary,1.0,13.0,6.0,2.0,0.0002267376,0.0,4.333333333333333,1.5
square_form_i,square2cnf,horn,0.9428571428571428,9.0,8.0,2.0740259740259743,0.0005709358,0.05714285714285716,3.0,2.0
square_form_i,square2cnf,antihorn,1.0,5.0,4.0,2.0,0.0004313902,0.0,1.6666666666666667,1.0
square_form_i,square2cnf,square2cnf,1.0,3.0,4.0,2.0,0.0030238312,0.0,1.0,1.0
square_form_i,square2cnf,affine,1.0,15.0,17.0,2.0,0.0016054984,0.0,5.0,4.25
square_form_ii,square2cnf,unary,1.0,11.0,5.0,2.0,0.0002265742,0.0,2.2,0.625
square_form_ii,square2cnf,horn,0.92987012987013,9.0,8.0,2.081818181818182,0.0006112374000000001,0.07012987012987004,1.8,1.0
square_form_ii,square2cnf,antihorn,1.0,7.0,6.0,2.0,0.000505369,0.0,1.4,0.75
square_form_ii,square2cnf,square2cnf,1.0,5.0,8.0,2.0,0.006326185199999999,0.0,1.0,1.0
square_form_ii,square2cnf,affine,1.0,17.0,19.0,2.0,0.0019182124000000002,0.0,3.4,2.375
square_form_iii,square2cnf,unary,1.0,13.0,6.0,2.0,0.000232989,0.0,4.333333333333333,1.5
square_form_iii,square2cnf,horn,1.0,5.0,4.0,2.0,0.0003680288,0.0,1.6666666666666667,1.0
square_form_iii,square2cnf,antihorn,0.9870129870129869,9.0,8.0,2.035064935064935,0.000522379,0.012987012987013102,3.0,2.0
square_form_iii,square2cnf,square2cnf,1.0,3.0,4.0,2.0,0.0029992494,0.0,1.0,1.0
square_form_iii,square2cnf,affine,1.0,15.0,17.0,2.0,0.0015896623999999999,0.0,5.0,4.25
affine_xor3,affine,unary,1.0,23.0,11.0,3.0,0.0003102946,0.0,7.666666666666667,3.6666666666666665
affine_xor3,affine,horn,0.7116883116883117,14.2,13.2,2.3402597402597403,0.0007595522,0.2883116883116883,4.733333333333333,4.3999999999999995
affine_xor3,affine,antihorn,0.8675324675324674,13.4,12.4,2.558441558441559,0.0007552632,0.13246753246753262,4.466666666666667,4.133333333333334
affine_xor3,affine,square2cnf,1.0,15.0,28.0,3.0,0.0163110832,0.0,5.0,9.333333333333334
affine_xor3,affine,affine,1.0,3.0,3.0,3.0,0.0006336085999999999,0.0,1.0,1.0
