dataset,run,depth,method,search_strategy,candidate_beam_width,tree_beam_width,lookahead_depth,node_budget,total_fit_time
"affine_xor3__noise_00",0,4,unary,Greedy,8,8,2,18446744073709551615,0.000385708
"affine_xor3__noise_00",0,4,horn,Greedy,8,8,2,18446744073709551615,0.000690103
"affine_xor3__noise_00",0,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000868611
"affine_xor3__noise_00",0,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.016237709
"affine_xor3__noise_00",0,4,affine,Greedy,8,8,2,18446744073709551615,0.000598725
"affine_xor3__noise_00",1,4,unary,Greedy,8,8,2,18446744073709551615,0.000298333
"affine_xor3__noise_00",1,4,horn,Greedy,8,8,2,18446744073709551615,0.000761739
"affine_xor3__noise_00",1,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000666939
"affine_xor3__noise_00",1,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.019224326
"affine_xor3__noise_00",1,4,affine,Greedy,8,8,2,18446744073709551615,0.000650606
"affine_xor3__noise_00",2,4,unary,Greedy,8,8,2,18446744073709551615,0.000293448
"affine_xor3__noise_00",2,4,horn,Greedy,8,8,2,18446744073709551615,0.000674446
"affine_xor3__noise_00",2,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000692357
"affine_xor3__noise_00",2,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.015422659
"affine_xor3__noise_00",2,4,affine,Greedy,8,8,2,18446744073709551615,0.000765212
"affine_xor3__noise_00",3,4,unary,Greedy,8,8,2,18446744073709551615,0.000278209
"affine_xor3__noise_00",3,4,horn,Greedy,8,8,2,18446744073709551615,0.000938986
"affine_xor3__noise_00",3,4,antihorn,Greedy,8,8,2,18446744073709551615,0.00069824
"affine_xor3__noise_00",3,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.01546871
"affine_xor3__noise_00",3,4,affine,Greedy,8,8,2,18446744073709551615,0.000581429
"affine_xor3__noise_00",4,4,unary,Greedy,8,8,2,18446744073709551615,0.000295775
"affine_xor3__noise_00",4,4,horn,Greedy,8,8,2,18446744073709551615,0.000732487
"affine_xor3__noise_00",4,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000850169
"affine_xor3__noise_00",4,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.015202012
"affine_xor3__noise_00",4,4,affine,Greedy,8,8,2,18446744073709551615,0.000572071
"affine_xor3__noise_05",0,4,unary,Greedy,8,8,2,18446744073709551615,0.00041123
"affine_xor3__noise_05",0,4,horn,Greedy,8,8,2,18446744073709551615,0.000865224
"affine_xor3__noise_05",0,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001105956
"affine_xor3__noise_05",0,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.023876256
"affine_xor3__noise_05",0,4,affine,Greedy,8,8,2,18446744073709551615,0.002137109
"affine_xor3__noise_05",1,4,unary,Greedy,8,8,2,18446744073709551615,0.000381527
"affine_xor3__noise_05",1,4,horn,Greedy,8,8,2,18446744073709551615,0.001065916
"affine_xor3__noise_05",1,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001128307
"affine_xor3__noise_05",1,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.023183438
"affine_xor3__noise_05",1,4,affine,Greedy,8,8,2,18446744073709551615,0.002301424
"affine_xor3__noise_05",2,4,unary,Greedy,8,8,2,18446744073709551615,0.000384692
"affine_xor3__noise_05",2,4,horn,Greedy,8,8,2,18446744073709551615,0.001086682
"affine_xor3__noise_05",2,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000990973
"affine_xor3__noise_05",2,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.02756688
"affine_xor3__noise_05",2,4,affine,Greedy,8,8,2,18446744073709551615,0.002308122
"affine_xor3__noise_05",3,4,unary,Greedy,8,8,2,18446744073709551615,0.000375392
"affine_xor3__noise_05",3,4,horn,Greedy,8,8,2,18446744073709551615,0.00103774
"affine_xor3__noise_05",3,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001016694
"affine_xor3__noise_05",3,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.020140065
"affine_xor3__noise_05",3,4,affine,Greedy,8,8,2,18446744073709551615,0.002264446
"affine_xor3__noise_05",4,4,unary,Greedy,8,8,2,18446744073709551615,0.000395042
"affine_xor3__noise_05",4,4,horn,Greedy,8,8,2,18446744073709551615,0.001059961
"affine_xor3__noise_05",4,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001150329
"affine_xor3__noise_05",4,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.02585794
"affine_xor3__noise_05",4,4,affine,Greedy,8,8,2,18446744073709551615,0.00222972
"affine_xor3__noise_10",0,4,unary,Greedy,8,8,2,18446744073709551615,0.00037412
"affine_xor3__noise_10",0,4,horn,Greedy,8,8,2,18446744073709551615,0.000961803
"affine_xor3__noise_10",0,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001134453
"affine_xor3__noise_10",0,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.02878295
"affine_xor3__noise_10",0,4,affine,Greedy,8,8,2,18446744073709551615,0.002415032
"affine_xor3__noise_10",1,4,unary,Greedy,8,8,2,18446744073709551615,0.000387485
"affine_xor3__noise_10",1,4,horn,Greedy,8,8,2,18446744073709551615,0.000917218
"affine_xor3__noise_10",1,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001059852
"affine_xor3__noise_10",1,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.022401069
"affine_xor3__noise_10",1,4,affine,Greedy,8,8,2,18446744073709551615,0.002433973
"affine_xor3__noise_10",2,4,unary,Greedy,8,8,2,18446744073709551615,0.000415836
"affine_xor3__noise_10",2,4,horn,Greedy,8,8,2,18446744073709551615,0.000946346
"affine_xor3__noise_10",2,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001046103
"affine_xor3__noise_10",2,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.021858333
