dataset,path,n_samples,n_columns_original,n_features_original,n_features_after_constant_removal,raw_label_unique_count,raw_label_counts,binarized_label_counts,positive_rate,majority_class_rate,removed_constant_columns_count,is_binary_features,skipped,skip_reason,label_column_used,label_excluded_from_features,feature_equal_to_label_count,feature_equal_to_label_indices,suspicious_majority_rate,suspicious_feature_label_leakage
"affine_xor3__noise_00","../language_analysis/controlled_fixtures/affine_xor3__noise_00.dl8",512,7,6,6,2,"0:256;1:256","0:256;1:256",0.5,0.5,0,true,false,"",0,true,0,"",false,false
"affine_xor3__noise_05","../language_analysis/controlled_fixtures/affine_xor3__noise_05.dl8",512,7,6,6,2,"0:260;1:252","0:260;1:252",0.4921875,0.5078125,0,true,false,"",0,true,0,"",false,false
"affine_xor3__noise_10","../language_analysis/controlled_fixtures/affine_xor3__noise_10.dl8",512,7,6,6,2,"0:260;1:252","0:260;1:252",0.4921875,0.5078125,0,true,false,"",0,true,0,"",false,false
"antihorn_chain__noise_00","../language_analysis/controlled_fixtures/antihorn_chain__noise_00.dl8",512,7,6,6,2,"0:336;1:176","0:336;1:176",0.34375,0.65625,0,true,false,"",0,true,0,"",false,false
"antihorn_chain__noise_05","../language_analysis/controlled_fixtures/antihorn_chain__noise_05.dl8",512,7,6,6,2,"0:330;1:182","0:330;1:182",0.35546875,0.64453125,0,true,false,"",0,true,0,"",false,false
"antihorn_chain__noise_10","../language_analysis/controlled_fixtures/antihorn_chain__noise_10.dl8",512,7,6,6,2,"0:325;1:187","0:325;1:187",0.365234375,0.634765625,0,true,false,"",0,true,0,"",false,false
"horn_chain__noise_00","../language_analysis/controlled_fixtures/horn_chain__noise_00.dl8",512,7,6,6,2,"0:336;1:176","0:336;1:176",0.34375,0.65625,0,true,false,"",0,true,0,"",false,false
"horn_chain__noise_05","../language_analysis/controlled_fixtures/horn_chain__noise_05.dl8",512,7,6,6,2,"0:330;1:182","0:330;1:182",0.35546875,0.64453125,0,true,false,"",0,true,0,"",false,false
"horn_chain__noise_10","../language_analysis/controlled_fixtures/horn_chain__noise_10.dl8",512,7,6,6,2,"0:324;1:188","0:324;1:188",0.3671875,0.6328125,0,true,false,"",0,true,0,"",false,false
"horn_simple__noise_00","../language_analysis/controlled_fixtures/horn_simple__noise_00.dl8",512,7,6,6,2,"0:128;1:384","0:128;1:384",0.75,0.75,0,true,false,"",0,true,0,"",false,false
"horn_simple__noise_05","../language_analysis/controlled_fixtures/horn_simple__noise_05.dl8",512,7,6,6,2,"0:142;1:370","0:142;1:370",0.72265625,0.72265625,0,true,false,"",0,true,0,"",false,false
"horn_simple__noise_10","../language_analysis/controlled_fixtures/horn_simple__noise_10.dl8",512,7,6,6,2,"0:156;1:356","0:156;1:356",0.6953125,0.6953125,0,true,false,"",0,true,0,"",false,false
"square_form_i__noise_00","../language_analysis/controlled_fixtures/square_form_i__noise_00.dl8",512,7,6,6,2,"0:224;1:288","0:224;1:288",0.5625,0.5625,0,true,false,"",0,true,0,"",false,false
"square_form_i__noise_05","../language_analysis/controlled_fixtures/square_form_i__noise_05.dl8",512,7,6,6,2,"0:234;1:278","0:234;1:278",0.54296875,0.54296875,0,true,false,"",0,true,0,"",false,false
"square_form_i__noise_10","../language_analysis/controlled_fixtures/square_form_i__noise_10.dl8",512,7,6,6,2,"0:228;1:284","0:228;1:284",0.5546875,0.5546875,0,true,false,"",0,true,0,"",false,false
"square_form_ii__noise_00","../language_analysis/controlled_fixtures/square_form_ii__noise_00.dl8",512,7,6,6,2,"0:256;1:256","0:256;1:256",0.5,0.5,0,true,false,"",0,true,0,"",false,false
"square_form_ii__noise_05","../language_analysis/controlled_fixtures/square_form_ii__noise_05.dl8",512,7,6,6,2,"0:261;1:251","0:261;1:251",0.490234375,0.509765625,0,true,false,"",0,true,0,"",false,false
"square_form_ii__noise_10","../language_analysis/controlled_fixtures/square_form_ii__noise_10.dl8",512,7,6,6,2,"0:254;1:258","0:254;1:258",0.50390625,0.50390625,0,true,false,"",0,true,0,"",false,false
"square_form_iii__noise_00","../language_analysis/controlled_fixtures/square_form_iii__noise_00.dl8",512,7,6,6,2,"0:288;1:224","0:288;1:224",0.4375,0.5625,0,true,false,"",0,true,0,"",false,false
"square_form_iii__noise_05","../language_analysis/controlled_fixtures/square_form_iii__noise_05.dl8",512,7,6,6,2,"0:284;1:228","0:284;1:228",0.4453125,0.5546875,0,true,false,"",0,true,0,"",false,false
"square_form_iii__noise_10","../language_analysis/controlled_fixtures/square_form_iii__noise_10.dl8",512,7,6,6,2,"0:285;1:227","0:285;1:227",0.443359375,0.556640625,0,true,false,"",0,true,0,"",false,false
"unary__noise_00","../language_analysis/controlled_fixtures/unary__noise_00.dl8",512,7,6,6,2,"0:256;1:256","0:256;1:256",0.5,0.5,0,true,false,"",0,true,1,"0",false,true
"unary__noise_05","../language_analysis/controlled_fixtures/unary__noise_05.dl8",512,7,6,6,2,"0:257;1:255","0:257;1:255",0.498046875,0.501953125,0,true,false,"",0,true,0,"",false,false
"unary__noise_10","../language_analysis/controlled_fixtures/unary__noise_10.dl8",512,7,6,6,2,"0:257;1:255","0:257;1:255",0.498046875,0.501953125,0,true,false,"",0,true,0,"",false,false
