dataset,run,depth,method,compatible_family_count,selected_family_counts,path_theory_state,path_backend
"affine_xor3__noise_00",0,4,unary,1,"{""Unary"": 11}","uncommitted","StructuralHorn"
"affine_xor3__noise_00",0,4,horn,1,"{""Horn"": 6}","horn","StructuralHorn"
"affine_xor3__noise_00",0,4,antihorn,1,"{""AntiHorn"": 7}","antihorn","StructuralAntiHorn"
"affine_xor3__noise_00",0,4,square2cnf,1,"{""Square2Cnf"": 7}","two_sat","TwoSat"
"affine_xor3__noise_00",0,4,affine,1,"{""Affine"": 1}","affine_gf2","Gf2Gaussian"
"affine_xor3__noise_00",1,4,unary,1,"{""Unary"": 11}","uncommitted","StructuralHorn"
"affine_xor3__noise_00",1,4,horn,1,"{""Horn"": 7}","horn","StructuralHorn"
"affine_xor3__noise_00",1,4,antihorn,1,"{""AntiHorn"": 6}","antihorn","StructuralAntiHorn"
"affine_xor3__noise_00",1,4,square2cnf,1,"{""Square2Cnf"": 7}","two_sat","TwoSat"
"affine_xor3__noise_00",1,4,affine,1,"{""Affine"": 1}","affine_gf2","Gf2Gaussian"
"affine_xor3__noise_00",2,4,unary,1,"{""Unary"": 11}","uncommitted","StructuralHorn"
"affine_xor3__noise_00",2,4,horn,1,"{""Horn"": 6}","horn","StructuralHorn"
"affine_xor3__noise_00",2,4,antihorn,1,"{""AntiHorn"": 6}","antihorn","StructuralAntiHorn"
"affine_xor3__noise_00",2,4,square2cnf,1,"{""Square2Cnf"": 7}","two_sat","TwoSat"
"affine_xor3__noise_00",2,4,affine,1,"{""Affine"": 1}","affine_gf2","Gf2Gaussian"
"affine_xor3__noise_00",3,4,unary,1,"{""Unary"": 11}","uncommitted","StructuralHorn"
"affine_xor3__noise_00",3,4,horn,1,"{""Horn"": 7}","horn","StructuralHorn"
"affine_xor3__noise_00",3,4,antihorn,1,"{""AntiHorn"": 6}","antihorn","StructuralAntiHorn"
"affine_xor3__noise_00",3,4,square2cnf,1,"{""Square2Cnf"": 7}","two_sat","TwoSat"
"affine_xor3__noise_00",3,4,affine,1,"{""Affine"": 1}","affine_gf2","Gf2Gaussian"
"affine_xor3__noise_00",4,4,unary,1,"{""Unary"": 11}","uncommitted","StructuralHorn"
"affine_xor3__noise_00",4,4,horn,1,"{""Horn"": 7}","horn","StructuralHorn"
"affine_xor3__noise_00",4,4,antihorn,1,"{""AntiHorn"": 6}","antihorn","StructuralAntiHorn"
"affine_xor3__noise_00",4,4,square2cnf,1,"{""Square2Cnf"": 7}","two_sat","TwoSat"
"affine_xor3__noise_00",4,4,affine,1,"{""Affine"": 1}","affine_gf2","Gf2Gaussian"
"affine_xor3__noise_05",0,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"affine_xor3__noise_05",0,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"affine_xor3__noise_05",0,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
