dataset,run,depth,method,pruning_enabled,nodes_before,nodes_after,leaves_before,leaves_after,literals_before,literals_after,validation_accuracy_before,validation_accuracy_after,validation_balanced_accuracy_before,validation_balanced_accuracy_after,validation_sensitivity_before,validation_sensitivity_after,validation_specificity_before,validation_specificity_after,validation_macro_f1_before,validation_macro_f1_after,validation_minority_recall_before,validation_minority_recall_after,validation_class_support,root_reason,reason_counts,pruning_time,path_certified
"affine_xor3__noise_00",0,4,unary,false,23,23,12,12,11,11,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"affine_xor3__noise_00",0,4,horn,false,13,13,7,7,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"affine_xor3__noise_00",0,4,antihorn,false,15,15,8,8,14,14,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"affine_xor3__noise_00",0,4,square2cnf,false,15,15,8,8,28,28,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"affine_xor3__noise_00",0,4,affine,false,3,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"affine_xor3__noise_00",1,4,unary,false,23,23,12,12,11,11,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"affine_xor3__noise_00",1,4,horn,false,15,15,8,8,14,14,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"affine_xor3__noise_00",1,4,antihorn,false,13,13,7,7,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"affine_xor3__noise_00",1,4,square2cnf,false,15,15,8,8,28,28,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"affine_xor3__noise_00",1,4,affine,false,3,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"affine_xor3__noise_00",2,4,unary,false,23,23,12,12,11,11,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"affine_xor3__noise_00",2,4,horn,false,13,13,7,7,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"affine_xor3__noise_00",2,4,antihorn,false,13,13,7,7,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"affine_xor3__noise_00",2,4,square2cnf,false,15,15,8,8,28,28,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
