dataset,method,aggregation,depth,accuracy,accuracy_std,nodes,predicate_literals,mean_axp_length,runtime,runs
HTRU_2-bin,affine,depth_mean_across_runs,5,0.9734773700875395,0.002207636596745995,60.0,65.8,7.575619295958279,0.3751755269,10
HTRU_2-bin,affine,depth_mean_across_runs,7,0.9729372322592662,0.002061084714677507,157.8,174.0,10.901769417023655,0.8659833467,10
HTRU_2-bin,antihorn,depth_mean_across_runs,5,0.9756006705159248,0.00210722825460696,59.6,58.6,3.44105047494878,0.1182890325,10
HTRU_2-bin,antihorn,depth_mean_across_runs,7,0.9744086422052524,0.0023839272744862632,171.8,170.8,6.777947476252561,0.24288564510000002,10
HTRU_2-bin,horn,depth_mean_across_runs,5,0.9754516669770907,0.001695267713751898,58.0,57.0,3.4811138014527847,0.1157376862,10
HTRU_2-bin,horn,depth_mean_across_runs,7,0.9754889178617991,0.002114896903700892,159.6,158.6,6.045986217172658,0.2278918381,10
HTRU_2-bin,square2cnf,depth_mean_across_runs,5,0.9759545539206556,0.0017723010721985607,58.4,114.8,3.218290184391879,0.9935284013000001,10
HTRU_2-bin,square2cnf,depth_mean_across_runs,7,0.975041907245297,0.002687634050029595,162.4,322.8,7.4519091078413116,3.008636879,10
HTRU_2-bin,unary,depth_mean_across_runs,5,0.9765133171912833,0.0017917679847275125,58.6,28.8,1.6002607561929598,0.0618405879,10
HTRU_2-bin,unary,depth_mean_across_runs,7,0.975693797727696,0.0017762115230545601,165.2,82.1,2.9530266343825664,0.10156902240000001,10
IndiansDiabetes-bin,affine,depth_mean_across_runs,5,0.6978260869565218,0.02697755140432796,51.8,55.1,7.53695652173913,0.0300272574,10
IndiansDiabetes-bin,affine,depth_mean_across_runs,7,0.6921739130434783,0.028310992341042975,111.8,124.6,10.402173913043478,0.059761710700000005,10
IndiansDiabetes-bin,antihorn,depth_mean_across_runs,5,0.7395652173913043,0.02798640411655133,48.2,47.2,5.264347826086956,0.0055352538,10
IndiansDiabetes-bin,antihorn,depth_mean_across_runs,7,0.7304347826086957,0.025185720575337377,92.0,91.0,6.818695652173913,0.00899147,10
IndiansDiabetes-bin,horn,depth_mean_across_runs,5,0.7169565217391305,0.03250062607446347,48.6,47.6,5.480434782608695,0.005597143000000001,10
IndiansDiabetes-bin,horn,depth_mean_across_runs,7,0.7021739130434782,0.03143624922244038,101.4,100.4,7.6552173913043475,0.010164883199999999,10
IndiansDiabetes-bin,square2cnf,depth_mean_across_runs,5,0.7139130434782609,0.035841373784694784,48.4,94.8,6.619565217391305,0.058718703399999995,10
IndiansDiabetes-bin,square2cnf,depth_mean_across_runs,7,0.6995652173913044,0.0336437967827915,101.6,201.2,8.762173913043478,0.12226594799999999,10
IndiansDiabetes-bin,unary,depth_mean_across_runs,5,0.7460869565217392,0.03202865761521456,48.0,23.5,3.7834782608695656,0.0030057191,10
IndiansDiabetes-bin,unary,depth_mean_across_runs,7,0.7339130434782609,0.019955842873111303,107.2,53.1,5.812608695652174,0.0041902261000000005,10
Statlog_satellite-bin,affine,depth_mean_across_runs,5,0.9046616541353384,0.009469572512146031,42.0,54.3,9.936616541353384,0.1249911437,10
Statlog_satellite-bin,affine,depth_mean_across_runs,7,0.9418796992481203,0.008417844597201837,72.6,93.7,11.92172932330827,0.1826809392,10
Statlog_satellite-bin,antihorn,depth_mean_across_runs,5,0.9359398496240601,0.003662922487507867,31.8,30.8,4.639172932330827,0.1037226644,10
Statlog_satellite-bin,antihorn,depth_mean_across_runs,7,0.9647368421052631,0.006265162887216431,45.6,44.6,5.25218045112782,0.12548736359999998,10
Statlog_satellite-bin,horn,depth_mean_across_runs,5,0.9201503759398497,0.008702193260129144,33.6,32.6,5.213157894736843,0.1053970654,10
