dataset,n_samples,n_features,n_over_p,positive_rate,imbalance_ratio,feature_prevalence_mean,feature_prevalence_std,feature_prevalence_min,feature_prevalence_max,feature_sparsity,signal_source,folds,unary_signal,unary_signal_std,horn_signal,horn_signal_std,antihorn_signal,antihorn_signal_std,square2cnf_signal,square2cnf_signal_std,affine_signal,affine_signal_std,interaction_advantage_horn,interaction_advantage_antihorn,interaction_advantage_square2cnf,interaction_advantage_affine
HTRU_2-bin,17898,70,255.68571428571428,0.09157447759526204,9.92007321537523,0.5550668071452516,0.28962310880581027,0.057604201586769474,0.999832383506537,0.4449331928547483,training_fold_only_same_boolean_candidate_semantics,10,0.2653630666364992,0.004159275464614182,0.2653630666364992,0.004159275464614166,0.2653630666364992,0.004159275464614166,0.26548186986385525,0.004110653463802222,0.19977032540046405,0.00323857075406557,0.0,0.0,0.00011880322735602356,-0.06559274123603517
IndiansDiabetes-bin,768,40,19.2,0.3489583333333333,1.865671641791045,0.7069010416666667,0.26727140520804626,0.14453125,0.9986979166666666,0.2930989583333333,training_fold_only_same_boolean_candidate_semantics,10,0.12259292417140075,0.014124277798804973,0.12259292417140075,0.014124277798804992,0.1343556555300907,0.014695869469279295,0.14676801679191928,0.018298602133217524,0.09097145788662474,0.01969142065890539,0.0,0.011762731358689965,0.024175092620518535,-0.03162146628477601
Statlog_satellite-bin,4435,531,8.352165725047081,0.7582863585118377,3.1371268656716422,0.529957515652966,0.3569407022525674,0.00022547914317925591,0.9997745208568207,0.4700424843470341,training_fold_only_same_boolean_candidate_semantics,10,0.10985762231669025,0.002888948122158145,0.11251048839418125,0.0029542661559891267,0.11001834536636793,0.002825267013488884,0.11332352602242528,0.0027121123784799657,0.10938096351023115,0.0036588416754296813,0.0026528660774910034,0.00016072304967768014,0.0034659037057350323,-0.00047665880645909875
adult_discretized,30299,59,513.542372881356,0.2478959701640318,3.0339502063639996,0.2033898305084746,0.2670059697858895,0.0001320175583352586,0.9568302584243704,0.7966101694915254,training_fold_only_same_boolean_candidate_semantics,10,0.11349855388645877,0.002320971086227482,0.11939076772436837,0.012581423762869887,0.14296234386392676,0.0021503050978617,0.14296234386392676,0.0021503050978616957,0.1134985538864588,0.0023209710862274707,0.005892213837909596,0.029463789977467986,0.029463789977467986,2.7755575615628914e-17
anneal,812,88,9.227272727272727,0.7697044334975369,3.3422459893048124,0.4659090909090909,0.363096898929944,0.0012315270935960591,0.9987684729064039,0.5340909090909092,training_fold_only_same_boolean_candidate_semantics,10,0.10041746113171571,0.007790558691455335,0.10041746113171571,0.007790558691455335,0.10041746113171571,0.007790558691455335,0.10041746113171571,0.007790558691455335,0.10041746113171571,0.007790558691455335,0.0,0.0,0.0,0.0
audiology,216,145,1.4896551724137932,0.2638888888888889,2.7894736842105265,0.45517241379310347,0.44349078968245653,0.004629629629629629,0.9953703703703703,0.5448275862068965,training_fold_only_same_boolean_candidate_semantics,10,0.5055227144091705,0.03808071755080965,0.5626294791012176,0.04528705936823215,0.5626294791012176,0.04528705936823215,0.5688186399810841,0.040774976391505575,0.491848779435911,0.03689653773550625,0.05710676469204712,0.05710676469204712,0.06329592557191355,-0.013673934973259527
australian-credit,653,124,5.266129032258065,0.5467075038284839,1.206081081081081,0.4112903225806452,0.28715860035453256,0.0030627871362940277,0.9509954058192955,0.5887096774193548,training_fold_only_same_boolean_candidate_semantics,10,0.450101183591835,0.012953898494082829,0.450101183591835,0.012953898494082829,0.450101183591835,0.012953898494082829,0.450101183591835,0.012953898494082829,0.450101183591835,0.012953898494082829,0.0,0.0,0.0,0.0
balance-scale-bin,625,16,39.0625,0.9216,11.755102040816322,0.5,0.22360679774997896,0.2,0.8,0.5,training_fold_only_same_boolean_candidate_semantics,10,0.003299013906484303,0.0016073449339819568,0.010079284784284073,0.004888589076627539,0.00630305366156351,0.0029624894740878692,0.012906244061094608,0.0057687257861732955,0.014450204108281548,0.002718809547497137,0.00678027087779977,0.003004039755079207,0.009607230154610305,0.011151190201797246
bank_conv-bin,4521,211,21.42654028436019,0.11523999115239991,7.677543186180422,0.6301158050215371,0.3792254493996004,0.0008847600088476001,0.9997788099977881,0.3698841949784628,training_fold_only_same_boolean_candidate_semantics,10,0.07046434044489466,0.0037572909301324497,0.07046434044489466,0.0037572909301324463,0.07046434044489466,0.0037572909301324497,0.07046434044489466,0.0037572909301324463,0.09537432749221311,0.004053011838434832,0.0,0.0,0.0,0.02490998704731845
banknote-bin,1372,26,52.76923076923077,0.4446064139941691,1.2491803278688525,0.5354059206100023,0.2718866444867713,0.13411078717201166,0.9985422740524781,0.46459407938999775,training_fold_only_same_boolean_candidate_semantics,10,0.3960156541518086,0.01943523679503472,0.39601565415180867,0.019435236795034692,0.3960156541518086,0.01943523679503472,0.39601565415180867,0.019435236795034713,0.22820706402929664,0.01168410261028074,5.551115123125783e-17,0.0,5.551115123125783e-17,-0.16780859012251198
