dataset,method,rank,accuracy
HTRU_2-bin,unary,1.0,0.9761035574594896
HTRU_2-bin,horn,3.0,0.9754702924194449
HTRU_2-bin,antihorn,4.0,0.9750046563605885
HTRU_2-bin,square2cnf,2.0,0.9754982305829764
HTRU_2-bin,affine,5.0,0.9732073011734028
IndiansDiabetes-bin,unary,1.0,0.74
IndiansDiabetes-bin,horn,3.0,0.7095652173913043
IndiansDiabetes-bin,antihorn,2.0,0.735
IndiansDiabetes-bin,square2cnf,4.0,0.7067391304347825
IndiansDiabetes-bin,affine,5.0,0.6950000000000001
Statlog_satellite-bin,unary,3.0,0.9417669172932331
Statlog_satellite-bin,horn,4.0,0.9404887218045113
Statlog_satellite-bin,antihorn,2.0,0.9503383458646617
Statlog_satellite-bin,square2cnf,1.0,0.9554135338345866
Statlog_satellite-bin,affine,5.0,0.9232706766917292
adult_discretized,unary,5.0,0.8431353135313531
adult_discretized,horn,4.0,0.8466336633663367
adult_discretized,antihorn,3.0,0.8524312431243125
adult_discretized,square2cnf,2.0,0.8524642464246425
adult_discretized,affine,1.0,0.8527502750275028
anneal,unary,5.0,0.8290983606557377
anneal,horn,3.0,0.8442622950819672
anneal,antihorn,2.0,0.8473360655737705
anneal,square2cnf,1.0,0.8493852459016393
anneal,affine,4.0,0.8381147540983607
audiology,unary,5.0,0.9423076923076923
audiology,horn,1.0,0.9553846153846154
audiology,antihorn,3.0,0.9523076923076923
audiology,square2cnf,2.0,0.953846153846154
audiology,affine,4.0,0.9507692307692308
australian-credit,unary,3.0,0.8438775510204082
australian-credit,horn,1.0,0.8479591836734693
australian-credit,antihorn,4.0,0.8436224489795918
australian-credit,square2cnf,2.0,0.8448979591836734
australian-credit,affine,5.0,0.8369897959183673
balance-scale-bin,unary,3.0,0.9008021390374331
balance-scale-bin,horn,1.0,0.9061497326203207
balance-scale-bin,antihorn,2.0,0.904812834224599
balance-scale-bin,square2cnf,5.0,0.8933155080213904
balance-scale-bin,affine,4.0,0.895187165775401
bank_conv-bin,unary,1.0,0.9020280235988201
bank_conv-bin,horn,2.0,0.8996312684365781
bank_conv-bin,antihorn,3.0,0.8995575221238938
bank_conv-bin,square2cnf,4.0,0.8973451327433628
bank_conv-bin,affine,5.0,0.8971976401179941
banknote-bin,unary,4.0,0.9811893203883495
banknote-bin,horn,2.0,0.9854368932038835
banknote-bin,antihorn,3.0,0.983859223300971
banknote-bin,square2cnf,1.0,0.9901699029126213
banknote-bin,affine,5.0,0.9783980582524272
biodeg-bin,unary,3.0,0.8134493670886076
biodeg-bin,horn,2.0,0.8147151898734177
biodeg-bin,antihorn,4.0,0.8113924050632912
biodeg-bin,square2cnf,1.0,0.8164556962025318
biodeg-bin,affine,5.0,0.8031645569620253
breast-cancer-un,unary,3.0,0.9399999999999998
breast-cancer-un,horn,4.0,0.9387804878048781
breast-cancer-un,antihorn,2.0,0.943170731707317
breast-cancer-un,square2cnf,1.0,0.9434146341463414
breast-cancer-un,affine,5.0,0.936829268292683
breast-wisconsin,unary,1.0,0.9492682926829268
breast-wisconsin,horn,4.0,0.9417073170731708
breast-wisconsin,antihorn,4.0,0.9417073170731708
breast-wisconsin,square2cnf,4.0,0.9417073170731708
breast-wisconsin,affine,2.0,0.943170731707317
car-un,unary,4.0,0.9441119691119692
car-un,horn,3.0,0.96003861003861
car-un,antihorn,2.0,0.9627413127413128
car-un,square2cnf,1.0,0.9681467181467183
car-un,affine,5.0,0.942084942084942
car_evaluation-bin,unary,4.0,0.9327220077220078
car_evaluation-bin,horn,2.0,0.9352316602316602
car_evaluation-bin,antihorn,3.0,0.9335907335907336
car_evaluation-bin,square2cnf,1.0,0.9357142857142857
car_evaluation-bin,affine,5.0,0.9316602316602317
compas_discretized,unary,1.0,0.670972972972973
compas_discretized,horn,3.0,0.667
compas_discretized,antihorn,2.0,0.6681891891891892
compas_discretized,square2cnf,4.0,0.6663243243243243
compas_discretized,affine,5.0,0.664918918918919
diabetes,unary,1.0,0.7436956521739131
diabetes,horn,3.5,0.7334782608695651
diabetes,antihorn,3.5,0.7334782608695651
diabetes,square2cnf,2.0,0.7336956521739131
diabetes,affine,5.0,0.7276086956521739
