analysis_type,metric,method,comparison,n_datasets,mean,median,std,average_rank,dataset_wins_including_ties,statistic,p_value,median_paired_difference_left_minus_right,paired_rank_biserial,holm_adjusted_p
descriptive,accuracy,unary,,46,0.858646328242452,0.9014150813181265,0.11780808018440611,2.641304347826087,19.0,,,,,
descriptive,accuracy,horn,,46,0.8596897984701479,0.9028905005284494,0.11935611686506677,2.6630434782608696,11.0,,,,,
descriptive,accuracy,antihorn,,46,0.8598477051495882,0.8959460084487065,0.11827942856283252,2.891304347826087,8.0,,,,,
descriptive,accuracy,square2cnf,,46,0.8590644291419736,0.8902988689932736,0.11962956103301743,2.760869565217391,13.0,,,,,
descriptive,accuracy,affine,,46,0.8535363059680721,0.8811650114591291,0.11928930728103468,4.043478260869565,3.0,,,,,
friedman,accuracy,all_fixed,all_fixed,46,,,,,,26.65916760404948,2.329533098392308e-05,,,
paired_wilcoxon,accuracy,,unary_vs_horn,46,,,,,,496.0,0.633795465148637,0.0001763167388166842,-0.08233117483811286,1.0
paired_wilcoxon,accuracy,,unary_vs_antihorn,46,,,,,,525.0,0.8698232099745221,0.00019970109255823543,-0.03188405797101449,1.0
paired_wilcoxon,accuracy,,unary_vs_square2cnf,46,,,,,,537.0,0.9741070958191926,0.0005028413741997029,-0.0064754856614246065,1.0
paired_wilcoxon,accuracy,,unary_vs_affine,46,,,,,,276.0,0.0038550795036749264,0.0033358695652173642,0.48936170212765956,0.026985556525724486
paired_wilcoxon,accuracy,,horn_vs_antihorn,46,,,,,,449.0,0.4818840933222881,0.0,0.07207207207207207,1.0
paired_wilcoxon,accuracy,,horn_vs_square2cnf,46,,,,,,515.0,0.8998070677969991,0.0,0.038461538461538464,1.0
paired_wilcoxon,accuracy,,horn_vs_affine,46,,,,,,171.0,2.1320824941994942e-05,0.003452380952380929,0.6836262719703978,0.00021320824941994942
paired_wilcoxon,accuracy,,antihorn_vs_square2cnf,46,,,,,,519.0,0.9345576479922033,0.0,0.007692307692307693,1.0
paired_wilcoxon,accuracy,,antihorn_vs_affine,46,,,,,,177.0,3.033028593790732e-05,0.003229338033685858,0.6725254394079556,0.0002729725734411659
paired_wilcoxon,accuracy,,square2cnf_vs_affine,46,,,,,,183.0,4.275248613794247e-05,0.0028305018756119016,0.6614246068455134,0.00034201988910353975
descriptive,tree_nodes,unary,,46,53.234782608695646,44.05,31.364149508573245,3.4130434782608696,8.0,,,,,
descriptive,tree_nodes,horn,,46,51.21739130434783,41.05,32.57454564770765,2.8260869565217392,12.0,,,,,
descriptive,tree_nodes,antihorn,,46,51.48695652173913,39.7,33.01509828814455,2.847826086956522,15.0,,,,,
descriptive,tree_nodes,square2cnf,,46,50.806521739130424,40.45,33.35956569244279,2.4239130434782608,15.0,,,,,
descriptive,tree_nodes,affine,,46,53.126086956521746,47.3,32.56421645359696,3.489130434782609,9.0,,,,,
friedman,tree_nodes,all_fixed,all_fixed,46,,,,,,15.471264367816145,0.0038172619923615876,,,
paired_wilcoxon,tree_nodes,,unary_vs_horn,46,,,,,,351.5,0.039445430018928425,2.0999999999999996,0.357487922705314,0.276118010132499
paired_wilcoxon,tree_nodes,,unary_vs_antihorn,46,,,,,,382.5,0.08528753768521702,2.3499999999999996,0.29178743961352654,0.5117252261113021
