dataset,method,adaptive_accuracy,oracle_accuracy,oracle_language,tie_count,regret,interpretation
HTRU_2-bin,cals,0.975246787111194,0.9761035574594896,unary,1,0.0008567703482956768,underperforms_best_fixed_language
HTRU_2-bin,cals_compact_explain,0.9755075433041535,0.9761035574594896,unary,1,0.0005960141553361664,underperforms_best_fixed_language
HTRU_2-bin,smart_certified,0.9759731793630099,0.9761035574594896,unary,1,0.00013037809647975518,underperforms_best_fixed_language
IndiansDiabetes-bin,cals,0.7406521739130435,0.74,unary,1,-0.0006521739130435078,beats_every_fixed_language
IndiansDiabetes-bin,cals_compact_explain,0.735,0.74,unary,1,0.0050000000000000044,underperforms_best_fixed_language
IndiansDiabetes-bin,smart_certified,0.7347826086956522,0.74,unary,1,0.00521739130434784,underperforms_best_fixed_language
Statlog_satellite-bin,cals,0.959548872180451,0.9554135338345866,square2cnf,1,-0.004135338345864437,beats_every_fixed_language
Statlog_satellite-bin,cals_compact_explain,0.9556015037593986,0.9554135338345866,square2cnf,1,-0.0001879699248119593,beats_every_fixed_language
Statlog_satellite-bin,smart_certified,0.9413157894736843,0.9554135338345866,square2cnf,1,0.014097744360902276,underperforms_best_fixed_language
adult_discretized,cals,0.8502585258525853,0.8527502750275028,affine,1,0.002491749174917457,underperforms_best_fixed_language
adult_discretized,cals_compact_explain,0.8425907590759076,0.8527502750275028,affine,1,0.010159515951595144,underperforms_best_fixed_language
adult_discretized,smart_certified,0.843014301430143,0.8527502750275028,affine,1,0.009735973597359782,underperforms_best_fixed_language
anneal,cals,0.8561475409836066,0.8493852459016393,square2cnf,1,-0.00676229508196724,beats_every_fixed_language
anneal,cals_compact_explain,0.8444672131147541,0.8493852459016393,square2cnf,1,0.004918032786885185,underperforms_best_fixed_language
anneal,smart_certified,0.8317622950819672,0.8493852459016393,square2cnf,1,0.017622950819672134,underperforms_best_fixed_language
audiology,cals,0.9446153846153846,0.9553846153846154,horn,1,0.010769230769230753,underperforms_best_fixed_language
audiology,cals_compact_explain,0.9523076923076925,0.9553846153846154,horn,1,0.003076923076922866,underperforms_best_fixed_language
audiology,smart_certified,0.9461538461538461,0.9553846153846154,horn,1,0.009230769230769265,underperforms_best_fixed_language
australian-credit,cals,0.861734693877551,0.8479591836734693,horn,1,-0.013775510204081631,beats_every_fixed_language
australian-credit,cals_compact_explain,0.864030612244898,0.8479591836734693,horn,1,-0.016071428571428625,beats_every_fixed_language
australian-credit,smart_certified,0.8423469387755101,0.8479591836734693,horn,1,0.0056122448979591955,underperforms_best_fixed_language
balance-scale-bin,cals,0.917379679144385,0.9061497326203207,horn,1,-0.011229946524064283,beats_every_fixed_language
balance-scale-bin,cals_compact_explain,0.9171122994652408,0.9061497326203207,horn,1,-0.01096256684492003,beats_every_fixed_language
balance-scale-bin,smart_certified,0.8946524064171122,0.9061497326203207,horn,1,0.011497326203208535,underperforms_best_fixed_language
bank_conv-bin,cals,0.8996681415929203,0.9020280235988201,unary,1,0.0023598820058997605,underperforms_best_fixed_language
bank_conv-bin,cals_compact_explain,0.8991887905604721,0.9020280235988201,unary,1,0.002839233038347988,underperforms_best_fixed_language
bank_conv-bin,smart_certified,0.9009218289085545,0.9020280235988201,unary,1,0.0011061946902655162,underperforms_best_fixed_language
banknote-bin,cals,0.9847087378640778,0.9901699029126213,square2cnf,1,0.005461165048543548,underperforms_best_fixed_language
banknote-bin,cals_compact_explain,0.9783980582524272,0.9901699029126213,square2cnf,1,0.011771844660194097,underperforms_best_fixed_language
banknote-bin,smart_certified,0.9868932038834952,0.9901699029126213,square2cnf,1,0.0032766990291260845,underperforms_best_fixed_language
biodeg-bin,cals,0.8180379746835443,0.8164556962025318,square2cnf,1,-0.0015822784810125556,beats_every_fixed_language
biodeg-bin,cals_compact_explain,0.8069620253164557,0.8164556962025318,square2cnf,1,0.009493670886076111,underperforms_best_fixed_language
biodeg-bin,smart_certified,0.8112341772151899,0.8164556962025318,square2cnf,1,0.005221518987341911,underperforms_best_fixed_language
breast-cancer-un,cals,0.9434146341463414,0.9434146341463414,square2cnf,1,0.0,matches_best_fixed_language
breast-cancer-un,cals_compact_explain,0.9390243902439025,0.9434146341463414,square2cnf,1,0.004390243902438917,underperforms_best_fixed_language
breast-cancer-un,smart_certified,0.9382926829268292,0.9434146341463414,square2cnf,1,0.0051219512195122,underperforms_best_fixed_language
breast-wisconsin,cals,0.9502439024390243,0.9492682926829268,unary,1,-0.0009756097560975618,beats_every_fixed_language
breast-wisconsin,cals_compact_explain,0.9485365853658536,0.9492682926829268,unary,1,0.0007317073170731714,underperforms_best_fixed_language
breast-wisconsin,smart_certified,0.9448780487804879,0.9492682926829268,unary,1,0.004390243902438917,underperforms_best_fixed_language
car-un,cals,0.9558880308880309,0.9681467181467183,square2cnf,1,0.012258687258687395,underperforms_best_fixed_language
car-un,cals_compact_explain,0.959073359073359,0.9681467181467183,square2cnf,1,0.009073359073359266,underperforms_best_fixed_language
car-un,smart_certified,0.9674710424710424,0.9681467181467183,square2cnf,1,0.0006756756756758353,underperforms_best_fixed_language
car_evaluation-bin,cals,0.9371621621621621,0.9357142857142857,square2cnf,1,-0.0014478764478763617,beats_every_fixed_language
car_evaluation-bin,cals_compact_explain,0.9352316602316602,0.9357142857142857,square2cnf,1,0.00048262548262556493,underperforms_best_fixed_language
car_evaluation-bin,smart_certified,0.9416023166023166,0.9357142857142857,square2cnf,1,-0.005888030888030915,beats_every_fixed_language
compas_discretized,cals,0.6672702702702702,0.670972972972973,unary,1,0.003702702702702787,underperforms_best_fixed_language
compas_discretized,cals_compact_explain,0.6542162162162162,0.670972972972973,unary,1,0.016756756756756808,underperforms_best_fixed_language
compas_discretized,smart_certified,0.6707027027027027,0.670972972972973,unary,1,0.0002702702702702675,underperforms_best_fixed_language
diabetes,cals,0.7419565217391304,0.7436956521739131,unary,1,0.0017391304347826875,underperforms_best_fixed_language
diabetes,cals_compact_explain,0.7367391304347827,0.7436956521739131,unary,1,0.006956521739130417,underperforms_best_fixed_language
diabetes,smart_certified,0.7352173913043478,0.7436956521739131,unary,1,0.008478260869565268,underperforms_best_fixed_language
forest-fires-un,cals,0.5367741935483872,0.5432258064516129,unary,1,0.006451612903225712,underperforms_best_fixed_language
forest-fires-un,cals_compact_explain,0.5387096774193548,0.5432258064516129,unary,1,0.004516129032258065,underperforms_best_fixed_language
forest-fires-un,smart_certified,0.5435483870967742,0.5432258064516129,unary,1,-0.00032258064516133,beats_every_fixed_language
german-credit,cals,0.7176666666666667,0.7083333333333333,horn,1,-0.009333333333333416,beats_every_fixed_language
german-credit,cals_compact_explain,0.7283333333333333,0.7083333333333333,horn,1,-0.020000000000000018,beats_every_fixed_language
german-credit,smart_certified,0.6978333333333333,0.7083333333333333,horn,1,0.010499999999999954,underperforms_best_fixed_language
heart-cleveland,cals,0.7764044943820225,0.75,unary,1,-0.026404494382022525,beats_every_fixed_language
heart-cleveland,cals_compact_explain,0.752247191011236,0.75,unary,1,-0.0022471910112360494,beats_every_fixed_language
heart-cleveland,smart_certified,0.7415730337078652,0.75,unary,1,0.008426966292134797,underperforms_best_fixed_language
