dataset,run,depth,method,compatible_family_count,selected_family_counts,path_theory_state,path_backend
"HTRU_2-bin",0,5,unary,1,"{""Unary"": 28}","uncommitted","StructuralHorn"
"HTRU_2-bin",0,5,horn,1,"{""Horn"": 29}","horn","StructuralHorn"
"HTRU_2-bin",0,5,antihorn,1,"{""AntiHorn"": 29}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",0,5,square2cnf,1,"{""Square2Cnf"": 29}","two_sat","TwoSat"
"HTRU_2-bin",0,5,affine,1,"{""Affine"": 30}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",0,5,smart_certified,5,"{""Affine"": 2, ""Unary"": 26}","uncommitted|affine_gf2","Gf2Gaussian|StructuralHorn"
"HTRU_2-bin",0,5,cals,5,"{""Horn"": 4, ""Unary"": 1}","uncommitted|horn","StructuralHorn"
"HTRU_2-bin",0,5,cals_compact_explain,5,"{""Horn"": 1, ""Unary"": 1}","uncommitted|horn","StructuralHorn"
"HTRU_2-bin",0,7,unary,1,"{""Unary"": 76}","uncommitted","StructuralHorn"
"HTRU_2-bin",0,7,horn,1,"{""Horn"": 82}","horn","StructuralHorn"
"HTRU_2-bin",0,7,antihorn,1,"{""AntiHorn"": 86}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",0,7,square2cnf,1,"{""Square2Cnf"": 86}","two_sat","TwoSat"
"HTRU_2-bin",0,7,affine,1,"{""Affine"": 84}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",0,7,smart_certified,5,"{""Affine"": 3, ""AntiHorn"": 2, ""Horn"": 1, ""Unary"": 67}","uncommitted|horn|antihorn|affine_gf2","Gf2Gaussian|StructuralAntiHorn|StructuralHorn"
"HTRU_2-bin",0,7,cals,5,"{""Horn"": 12, ""Unary"": 1}","uncommitted|horn","StructuralHorn"
"HTRU_2-bin",0,7,cals_compact_explain,5,"{""Horn"": 1, ""Unary"": 1}","uncommitted|horn","StructuralHorn"
"HTRU_2-bin",1,5,unary,1,"{""Unary"": 29}","uncommitted","StructuralHorn"
"HTRU_2-bin",1,5,horn,1,"{""Horn"": 28}","horn","StructuralHorn"
"HTRU_2-bin",1,5,antihorn,1,"{""AntiHorn"": 30}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",1,5,square2cnf,1,"{""Square2Cnf"": 27}","two_sat","TwoSat"
"HTRU_2-bin",1,5,affine,1,"{""Affine"": 30}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",1,5,smart_certified,5,"{""Horn"": 2, ""Unary"": 27}","uncommitted|horn","StructuralHorn"
"HTRU_2-bin",1,5,cals,5,"{""Square2Cnf"": 5, ""Unary"": 1}","uncommitted|two_sat","StructuralHorn|TwoSat"
