dataset,run,depth,method,pruning_enabled,nodes_before,nodes_after,leaves_before,leaves_after,literals_before,literals_after,validation_accuracy_before,validation_accuracy_after,validation_balanced_accuracy_before,validation_balanced_accuracy_after,validation_sensitivity_before,validation_sensitivity_after,validation_specificity_before,validation_specificity_after,validation_macro_f1_before,validation_macro_f1_after,validation_minority_recall_before,validation_minority_recall_after,validation_class_support,root_reason,reason_counts,pruning_time,path_certified
"HTRU_2-bin",0,5,unary,false,57,57,29,29,28,28,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",0,5,horn,false,59,59,30,30,58,58,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",0,5,antihorn,false,59,59,30,30,58,58,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",0,5,square2cnf,false,59,59,30,30,116,116,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",0,5,affine,false,61,61,31,31,70,70,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",0,5,smart_certified,false,57,57,29,29,31,31,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",0,5,cals,true,57,11,29,6,39,9,0.9792498004788508,0.9788507581803672,0.9274082374505184,0.9291622383438842,0.8640350877192983,0.868421052631579,0.9907813871817384,0.9899034240561896,0.9360097739383904,0.9351723727259105,0.8640350877192983,0.868421052631579,"0:2278|1:228",no_change,"objective_improved:21|no_change:7",0.000477262,true
"HTRU_2-bin",0,5,cals_compact_explain,true,57,5,29,3,37,3,0.9788507581803672,0.9784517158818835,0.9291622383438842,0.9210487808634844,0.868421052631579,0.8508771929824561,0.9899034240561896,0.9912203687445127,0.9351723727259105,0.9330059308692338,0.868421052631579,0.8508771929824561,"0:2278|1:228",no_change,"objective_improved:20|insufficient_validation_support:4|no_change:4",0.000720578,true
"HTRU_2-bin",0,7,unary,false,153,153,77,77,76,76,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",0,7,horn,false,165,165,83,83,164,164,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",0,7,antihorn,false,173,173,87,87,172,172,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",0,7,square2cnf,false,173,173,87,87,344,344,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",0,7,affine,false,169,169,85,85,187,187,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",0,7,smart_certified,false,147,147,74,74,80,80,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",0,7,cals,true,161,27,81,14,126,25,0.9792498004788508,0.9804469273743017,0.9274082374505184,0.9300402014694331,0.8640350877192983,0.868421052631579,0.9907813871817384,0.9916593503072871,0.9360097739383904,0.9395792482956629,0.8640350877192983,0.868421052631579,"0:2278|1:228",no_change,"objective_improved:66|no_change:14",0.000790784,true
"HTRU_2-bin",0,7,cals_compact_explain,true,161,5,81,3,124,3,0.9792498004788508,0.9784517158818835,0.9214877624262587,0.9210487808634844,0.8508771929824561,0.8508771929824561,0.9920983318700615,0.9912203687445127,0.9352223017577348,0.9330059308692338,0.8508771929824561,0.8508771929824561,"0:2278|1:228",no_change,"objective_improved:45|insufficient_validation_support:24|no_change:11",0.001190655,true
"HTRU_2-bin",1,5,unary,false,59,59,30,30,29,29,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",1,5,horn,false,57,57,29,29,56,56,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",1,5,antihorn,false,61,61,31,31,60,60,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",1,5,square2cnf,false,55,55,28,28,108,108,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",1,5,affine,false,61,61,31,31,65,65,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",1,5,smart_certified,false,59,59,30,30,31,31,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",1,5,cals,true,53,13,27,7,53,21,0.9728651237031125,0.9752593774940144,0.9081084515502981,0.9035049212143615,0.8289473684210527,0.8157894736842105,0.9872695346795435,0.9912203687445127,0.9163204736117413,0.9217999126256007,0.8289473684210527,0.8157894736842105,"0:2278|1:228",no_change,"objective_improved:20|no_change:6",0.000469866,true
"HTRU_2-bin",1,5,cals_compact_explain,true,53,5,27,3,34,3,0.9720670391061452,0.9740622505985634,0.9056959783127705,0.9186343822682255,0.8245614035087719,0.8508771929824561,0.9868305531167691,0.9863915715539947,0.9138593110709101,0.9211273143339691,0.8245614035087719,0.8508771929824561,"0:2278|1:228",no_change,"objective_improved:20|insufficient_validation_support:4|no_change:2",0.000646909,true
"HTRU_2-bin",1,7,unary,false,161,161,81,81,80,80,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",1,7,horn,false,145,145,73,73,144,144,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",1,7,antihorn,false,161,161,81,81,160,160,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",1,7,square2cnf,false,155,155,78,78,308,308,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",1,7,affine,false,163,163,82,82,181,181,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",1,7,smart_certified,false,163,163,82,82,91,91,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",1,7,cals,true,143,19,72,10,150,33,0.9736632083000798,0.9760574620909817,0.9105209247878256,0.9019704111023827,0.8333333333333334,0.8114035087719298,0.9877085162423178,0.9925373134328358,0.9187816361525725,0.9236851989077584,0.8333333333333334,0.8114035087719298,"0:2278|1:228",no_change,"objective_improved:59|no_change:12",0.000770674,true
"HTRU_2-bin",1,7,cals_compact_explain,true,153,5,77,3,107,3,0.9732641660015962,0.9740622505985634,0.9063544506569321,0.9186343822682255,0.8245614035087719,0.8508771929824561,0.9881474978050921,0.9863915715539947,0.9170472123699462,0.9211273143339691,0.8245614035087719,0.8508771929824561,"0:2278|1:228",no_change,"objective_improved:48|insufficient_validation_support:21|no_change:7",0.001114502,true
"HTRU_2-bin",2,5,unary,false,59,59,30,30,29,29,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",2,5,horn,false,59,59,30,30,58,58,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",2,5,antihorn,false,61,61,31,31,60,60,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
