dataset,run,depth,method,search_strategy,candidate_beam_width,tree_beam_width,lookahead_depth,node_budget,total_fit_time
"HTRU_2-bin",0,7,cals_horn,SparseLookahead,16,8,2,18446744073709551615,0.532994163
"HTRU_2-bin",0,7,cals_antihorn,SparseLookahead,16,8,2,18446744073709551615,0.572476051
"HTRU_2-bin",0,7,cals_square2cnf,SparseLookahead,16,8,2,18446744073709551615,89.394294323
"HTRU_2-bin",0,7,cals_affine,SparseLookahead,16,8,2,18446744073709551615,8.750545698
"HTRU_2-bin",0,7,cals_compact_explain_horn,SelectiveLookahead,16,4,2,18446744073709551615,0.444374196
"HTRU_2-bin",0,7,cals_compact_explain_antihorn,SelectiveLookahead,16,4,2,18446744073709551615,0.429510569
"HTRU_2-bin",0,7,cals_compact_explain_square2cnf,SelectiveLookahead,16,4,2,18446744073709551615,36.037974787
"HTRU_2-bin",0,7,cals_compact_explain_affine,SelectiveLookahead,16,4,2,18446744073709551615,5.60662572
"HTRU_2-bin",1,7,cals_horn,SparseLookahead,16,8,2,18446744073709551615,0.576309404
"HTRU_2-bin",1,7,cals_antihorn,SparseLookahead,16,8,2,18446744073709551615,0.52159233
"HTRU_2-bin",1,7,cals_square2cnf,SparseLookahead,16,8,2,18446744073709551615,83.288060416
"HTRU_2-bin",1,7,cals_affine,SparseLookahead,16,8,2,18446744073709551615,7.573210549
"HTRU_2-bin",1,7,cals_compact_explain_horn,SelectiveLookahead,16,4,2,18446744073709551615,0.501798983
"HTRU_2-bin",1,7,cals_compact_explain_antihorn,SelectiveLookahead,16,4,2,18446744073709551615,0.440185909
"HTRU_2-bin",1,7,cals_compact_explain_square2cnf,SelectiveLookahead,16,4,2,18446744073709551615,31.862909765
"HTRU_2-bin",1,7,cals_compact_explain_affine,SelectiveLookahead,16,4,2,18446744073709551615,4.708567846
"anneal",0,7,cals_horn,SparseLookahead,16,8,2,18446744073709551615,0.020603258
"anneal",0,7,cals_antihorn,SparseLookahead,16,8,2,18446744073709551615,0.021492631
"anneal",0,7,cals_square2cnf,SparseLookahead,16,8,2,18446744073709551615,12.886656928
"anneal",0,7,cals_affine,SparseLookahead,16,8,2,18446744073709551615,0.13733473
"anneal",0,7,cals_compact_explain_horn,SelectiveLookahead,16,4,2,18446744073709551615,0.015392631
"anneal",0,7,cals_compact_explain_antihorn,SelectiveLookahead,16,4,2,18446744073709551615,0.01565229
"anneal",0,7,cals_compact_explain_square2cnf,SelectiveLookahead,16,4,2,18446744073709551615,3.429320786
"anneal",0,7,cals_compact_explain_affine,SelectiveLookahead,16,4,2,18446744073709551615,0.228346323
"anneal",1,7,cals_horn,SparseLookahead,16,8,2,18446744073709551615,0.024177461
"anneal",1,7,cals_antihorn,SparseLookahead,16,8,2,18446744073709551615,0.022348689
"anneal",1,7,cals_square2cnf,SparseLookahead,16,8,2,18446744073709551615,12.549454655
"anneal",1,7,cals_affine,SparseLookahead,16,8,2,18446744073709551615,0.153351246
"anneal",1,7,cals_compact_explain_horn,SelectiveLookahead,16,4,2,18446744073709551615,0.015282252
"anneal",1,7,cals_compact_explain_antihorn,SelectiveLookahead,16,4,2,18446744073709551615,0.015269321
"anneal",1,7,cals_compact_explain_square2cnf,SelectiveLookahead,16,4,2,18446744073709551615,3.030380703
"anneal",1,7,cals_compact_explain_affine,SelectiveLookahead,16,4,2,18446744073709551615,0.303505763
"balance-scale-bin",0,7,cals_horn,SparseLookahead,16,8,2,18446744073709551615,0.015458174
"balance-scale-bin",0,7,cals_antihorn,SparseLookahead,16,8,2,18446744073709551615,0.012961972
"balance-scale-bin",0,7,cals_square2cnf,SparseLookahead,16,8,2,18446744073709551615,14.409418768
"balance-scale-bin",0,7,cals_affine,SparseLookahead,16,8,2,18446744073709551615,0.16063887
"balance-scale-bin",0,7,cals_compact_explain_horn,SelectiveLookahead,16,4,2,18446744073709551615,0.011361069
"balance-scale-bin",0,7,cals_compact_explain_antihorn,SelectiveLookahead,16,4,2,18446744073709551615,0.011081555
