dataset,run,depth,method,compatible_family_count,selected_family_counts,path_theory_state,path_backend
"HTRU_2-bin",0,7,cals_horn,1,"{""Horn"": 13}","horn","StructuralHorn"
"HTRU_2-bin",0,7,cals_antihorn,1,"{""AntiHorn"": 7}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",0,7,cals_square2cnf,1,"{""Square2Cnf"": 9}","two_sat","TwoSat"
"HTRU_2-bin",0,7,cals_affine,1,"{""Affine"": 10}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",0,7,cals_compact_explain_horn,1,"{""Horn"": 2}","horn","StructuralHorn"
"HTRU_2-bin",0,7,cals_compact_explain_antihorn,1,"{""AntiHorn"": 2}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",0,7,cals_compact_explain_square2cnf,1,"{""Square2Cnf"": 2}","two_sat","TwoSat"
"HTRU_2-bin",0,7,cals_compact_explain_affine,1,"{""Affine"": 2}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",1,7,cals_horn,1,"{""Horn"": 2}","horn","StructuralHorn"
"HTRU_2-bin",1,7,cals_antihorn,1,"{""AntiHorn"": 6}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",1,7,cals_square2cnf,1,"{""Square2Cnf"": 12}","two_sat","TwoSat"
"HTRU_2-bin",1,7,cals_affine,1,"{""Affine"": 11}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",1,7,cals_compact_explain_horn,1,"{""Horn"": 2}","horn","StructuralHorn"
"HTRU_2-bin",1,7,cals_compact_explain_antihorn,1,"{""AntiHorn"": 2}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",1,7,cals_compact_explain_square2cnf,1,"{""Square2Cnf"": 2}","two_sat","TwoSat"
"HTRU_2-bin",1,7,cals_compact_explain_affine,1,"{""Affine"": 2}","affine_gf2","Gf2Gaussian"
"anneal",0,7,cals_horn,1,"{""Horn"": 7}","horn","StructuralHorn"
"anneal",0,7,cals_antihorn,1,"{""AntiHorn"": 7}","antihorn","StructuralAntiHorn"
"anneal",0,7,cals_square2cnf,1,"{""Square2Cnf"": 7}","two_sat","TwoSat"
"anneal",0,7,cals_affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"anneal",0,7,cals_compact_explain_horn,1,"{""Horn"": 9}","horn","StructuralHorn"
"anneal",0,7,cals_compact_explain_antihorn,1,"{""AntiHorn"": 9}","antihorn","StructuralAntiHorn"
"anneal",0,7,cals_compact_explain_square2cnf,1,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"anneal",0,7,cals_compact_explain_affine,1,"{""Affine"": 8}","affine_gf2","Gf2Gaussian"
"anneal",1,7,cals_horn,1,"{""Horn"": 6}","horn","StructuralHorn"
