dataset,method_key,method_label,depth,category,acc,acc_std,size,expl,train_time,axp_valid_rate,axp_minimal_rate,n_success,n_fail,axp_backend,theorem_certified,path_certificate,rejected_reason,theorem_mode_used,random_state,n_runs,train_test_split_protocol
HTRU_2-bin,sklearn_dt7,sklearn DT,7,baseline,0.9779329608938546,0.001857069289228469,176.8,6.646480446927375,0.029132318496704102,nan,nan,10,0,sklearn,False,none,baseline,False,42,10,StratifiedShuffleSplit(test_size=0.2)
HTRU_2-bin,gsnh_1D_d5,1D,5,main,0.9774022346368716,0.0021326225694554717,33.2,1.32,5.3917255878448485,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
HTRU_2-bin,gsnh_1D_d7,1D,7,main,0.977150837988827,0.0015391036104978608,45.2,1.4899999999999998,5.23215389251709,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
HTRU_2-bin,gsnh_Horn_d5,Horn,5,main,0.9770391061452515,0.002247865870249256,28.0,1.5459999999999998,5.644740772247315,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
HTRU_2-bin,gsnh_Horn_d7,Horn,7,main,0.9771229050279331,0.0018336026181314349,35.8,2.334,5.611802673339843,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
HTRU_2-bin,gsnh_AntiHorn_d5,AntiHorn,5,main,0.9763407821229052,0.001979302093637632,25.2,1.7739999999999998,5.599066710472107,nan,nan,10,0,structural_antihorn,True,antihorn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
HTRU_2-bin,gsnh_AntiHorn_d7,AntiHorn,7,main,0.9763966480446928,0.001780931634558126,31.8,2.122,5.645066046714783,nan,nan,10,0,structural_antihorn,True,antihorn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
HTRU_2-bin,gsnh_ConjUI_d5,ConjUI,5,auxiliary,0.9761731843575419,0.0019314183143086545,15.8,1.7720000000000002,5.613451218605041,nan,nan,10,0,interval_dfs_fallback,False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
HTRU_2-bin,gsnh_ConjUI_d7,ConjUI,7,auxiliary,0.9761731843575419,0.0019314183143086545,15.8,1.802,5.589754056930542,nan,nan,10,0,interval_dfs_fallback,False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
HTRU_2-bin,gsnh_Square2CNF_d5,Square2CNF,5,main,0.9756983240223462,0.002127310923425693,17.2,1.826,5.735908198356628,nan,nan,10,0,two_sat,True,2cnf,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
HTRU_2-bin,gsnh_Square2CNF_d7,Square2CNF,7,main,0.9756983240223462,0.002127310923425693,17.4,1.8760000000000001,5.736463332176209,nan,nan,10,0,two_sat,True,2cnf,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
HTRU_2-bin,gsnh_Affine_d5,Affine,5,auxiliary,0.9245810055865922,0.006098092283888824,20.8,4.038,5.664366292953491,nan,nan,10,0,affine,False,none,Affine backend is auxiliary unless separately certified,False,42,10,StratifiedShuffleSplit(test_size=0.2)
HTRU_2-bin,gsnh_Affine_d7,Affine,7,auxiliary,0.9245810055865922,0.006098092283888824,21.0,4.1240000000000006,5.642796039581299,nan,nan,10,0,affine,False,none,Affine backend is auxiliary unless separately certified,False,42,10,StratifiedShuffleSplit(test_size=0.2)
HTRU_2-bin,gsnh_BestPN_d5,BestPN,5,empirical,0.9767597765363127,0.002223435613646081,24.0,1.8779999999999997,5.662111377716064,nan,nan,10,0,"mixed:interval_dfs_fallback=7,mixed:interval_dfs_fallback=70,unknown=205=1,unknown=2",False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
HTRU_2-bin,gsnh_BestPN_d7,BestPN,7,empirical,0.9765921787709498,0.0018050831755758161,31.6,2.172,5.661873984336853,nan,nan,10,0,"mixed:interval_dfs_fallback=7,mixed:interval_dfs_fallback=70,unknown=273=1,unknown=2",False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,sklearn_dt7,sklearn DT,7,baseline,0.740909090909091,0.03526278956463758,94.6,6.127272727272727,0.001516103744506836,nan,nan,10,0,sklearn,False,none,baseline,False,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_1D_d5,1D,5,main,0.7610389610389611,0.034458439380315856,24.6,2.462,0.19211311340332032,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_1D_d7,1D,7,main,0.7597402597402597,0.042382256810599296,25.4,2.628,0.18949542045593262,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_Horn_d5,Horn,5,main,0.7525974025974025,0.032525921523034275,18.6,2.786,0.2386671781539917,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_Horn_d7,Horn,7,main,0.7499999999999999,0.038988085850072914,20.6,2.9699999999999998,0.23811061382293702,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_AntiHorn_d5,AntiHorn,5,main,0.7551948051948052,0.04480519480519483,19.2,2.5,0.23851821422576905,nan,nan,10,0,structural_antihorn,True,antihorn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_AntiHorn_d7,AntiHorn,7,main,0.7551948051948051,0.04356460550057016,19.8,2.6759999999999997,0.23938889503479005,nan,nan,10,0,structural_antihorn,True,antihorn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_ConjUI_d5,ConjUI,5,auxiliary,0.7636363636363637,0.02877729844955888,15.8,3.134,0.23521835803985597,nan,nan,10,0,interval_dfs_fallback,False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_ConjUI_d7,ConjUI,7,auxiliary,0.7636363636363637,0.02877729844955888,15.8,3.1300000000000003,0.2339484214782715,nan,nan,10,0,interval_dfs_fallback,False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_Square2CNF_d5,Square2CNF,5,main,0.7577922077922078,0.04097088715414899,15.2,3.3340000000000005,0.2657414674758911,nan,nan,10,0,two_sat,True,2cnf,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_Square2CNF_d7,Square2CNF,7,main,0.7577922077922078,0.04097088715414899,15.2,3.276,0.262237548828125,nan,nan,10,0,two_sat,True,2cnf,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
IndiansDiabetes-bin,gsnh_Affine_d5,Affine,5,auxiliary,0.7311688311688311,0.02616810607741542,15.4,4.326,0.23463661670684816,nan,nan,10,0,affine,False,none,Affine backend is auxiliary unless separately certified,False,42,10,StratifiedShuffleSplit(test_size=0.2)
