dataset,run,depth,method,old_theorem_certified,new_exact_theorem_certified,language_family,domain_regime,theorem_id,structural_check,backend,violation_type,violation_detail
HTRU_2-bin,0,5,unary,true,true,Unary,Boolean,UnaryBaseline,UnaryRelation,StructuralHorn,,
HTRU_2-bin,0,5,horn,true,true,Horn,Boolean,Theorem3,StarNestedHorn,StructuralHorn,,
HTRU_2-bin,0,5,antihorn,true,true,AntiHorn,Boolean,Theorem4,StarNestedAntiHorn,StructuralAntiHorn,,
HTRU_2-bin,0,5,square2cnf,true,true,Square2Cnf,Boolean,Theorem6,Square2CnfFormI,TwoSat,,
HTRU_2-bin,0,5,affine,true,true,Affine,Boolean,Theorem5,SingleGf2Equation,Gf2Gaussian,,
HTRU_2-bin,0,5,smart_certified,true,true,SmartCertified,Boolean,Proposition1,PathCompatibleExactRelations,PathCertified,,
HTRU_2-bin,0,5,cals,true,true,SmartCertified,Boolean,Proposition1,PathCompatibleExactRelations,PathCertified,,
HTRU_2-bin,0,5,cals_compact_explain,true,true,SmartCertified,Boolean,Proposition1,PathCompatibleExactRelations,PathCertified,,
HTRU_2-bin,0,7,unary,true,true,Unary,Boolean,UnaryBaseline,UnaryRelation,StructuralHorn,,
HTRU_2-bin,0,7,horn,true,true,Horn,Boolean,Theorem3,StarNestedHorn,StructuralHorn,,
HTRU_2-bin,0,7,antihorn,true,true,AntiHorn,Boolean,Theorem4,StarNestedAntiHorn,StructuralAntiHorn,,
HTRU_2-bin,0,7,square2cnf,true,true,Square2Cnf,Boolean,Theorem6,Square2CnfFormI,TwoSat,,
HTRU_2-bin,0,7,affine,true,true,Affine,Boolean,Theorem5,SingleGf2Equation,Gf2Gaussian,,
HTRU_2-bin,0,7,smart_certified,true,true,SmartCertified,Boolean,Proposition1,PathCompatibleExactRelations,PathCertified,,
HTRU_2-bin,0,7,cals,true,true,SmartCertified,Boolean,Proposition1,PathCompatibleExactRelations,PathCertified,,
HTRU_2-bin,0,7,cals_compact_explain,true,true,SmartCertified,Boolean,Proposition1,PathCompatibleExactRelations,PathCertified,,
HTRU_2-bin,1,5,unary,true,true,Unary,Boolean,UnaryBaseline,UnaryRelation,StructuralHorn,,
HTRU_2-bin,1,5,horn,true,true,Horn,Boolean,Theorem3,StarNestedHorn,StructuralHorn,,
HTRU_2-bin,1,5,antihorn,true,true,AntiHorn,Boolean,Theorem4,StarNestedAntiHorn,StructuralAntiHorn,,
HTRU_2-bin,1,5,square2cnf,true,true,Square2Cnf,Boolean,Theorem6,Square2CnfFormI,TwoSat,,
HTRU_2-bin,1,5,affine,true,true,Affine,Boolean,Theorem5,SingleGf2Equation,Gf2Gaussian,,
HTRU_2-bin,1,5,smart_certified,true,true,SmartCertified,Boolean,Proposition1,PathCompatibleExactRelations,PathCertified,,
