target,target_family,noise_percent,method,accuracy,accuracy_std,nodes,leaves,depth,predicate_literals,mean_axp_length,training_time,repetitions
affine_xor3,affine,0,affine,1.0,0.0,3.0,2.0,1.0,3.0,3.0,0.0006336085999999999,5
affine_xor3,affine,0,antihorn,0.8675324675324674,0.023231875090906986,13.4,7.2,4.0,12.4,2.558441558441559,0.0007552632,5
affine_xor3,affine,0,horn,0.7116883116883117,0.08323348152812644,14.2,7.6,4.0,13.2,2.3402597402597403,0.0007595522,5
affine_xor3,affine,0,square2cnf,1.0,0.0,15.0,8.0,4.0,28.0,3.0,0.0163110832,5
affine_xor3,affine,0,unary,1.0,0.0,23.0,12.0,4.0,11.0,3.0,0.0003102946,5
affine_xor3,affine,5,affine,0.9363636363636363,0.014077586616025171,27.0,14.0,4.0,27.6,3.0,0.0022481642,5
affine_xor3,affine,5,antihorn,0.7844155844155845,0.06628467613077847,24.2,12.6,4.0,23.2,3.2116883116883117,0.0010784518,5
affine_xor3,affine,5,horn,0.8051948051948052,0.06685474117524028,23.8,12.4,4.0,22.8,3.0636363636363635,0.0010231046000000001,5
affine_xor3,affine,5,square2cnf,0.8922077922077921,0.09304086810172515,25.8,13.4,4.0,49.6,3.081818181818182,0.0241249158,5
affine_xor3,affine,5,unary,0.5857142857142857,0.14095546546717025,31.0,16.0,4.0,15.0,3.548051948051948,0.0003895766,5
affine_xor3,affine,10,affine,0.9064935064935066,0.024981018261910817,29.0,15.0,4.0,29.0,3.0,0.0023514884,5
affine_xor3,affine,10,antihorn,0.7545454545454546,0.039069114172704776,25.0,13.0,4.0,24.0,2.672727272727273,0.0010730876000000001,5
affine_xor3,affine,10,horn,0.7194805194805195,0.0965765841172894,23.8,12.4,4.0,22.8,2.5935064935064935,0.0009285583999999999,5
affine_xor3,affine,10,square2cnf,0.861038961038961,0.1032447112433859,27.0,14.0,4.0,52.0,3.1467532467532466,0.0238967074,5
affine_xor3,affine,10,unary,0.7415584415584415,0.06252002546447226,31.0,16.0,4.0,15.0,3.5675324675324673,0.00039438600000000004,5
antihorn_chain,antihorn,0,affine,0.9480519480519479,0.0,15.0,8.0,4.0,17.0,1.690909090909091,0.0015101666,5
antihorn_chain,antihorn,0,antihorn,1.0,0.0,7.0,4.0,3.0,6.0,1.742857142857143,0.00042952980000000006,5
antihorn_chain,antihorn,0,horn,0.9519480519480519,0.02133983990279871,10.2,5.6,4.0,9.2,1.6168831168831168,0.000510396,5
antihorn_chain,antihorn,0,square2cnf,1.0,0.0,7.0,4.0,3.0,12.0,1.742857142857143,0.0054848594,5
antihorn_chain,antihorn,0,unary,0.9545454545454545,0.009183204950474692,9.0,5.0,4.0,4.0,1.5597402597402596,0.00016604020000000002,5
antihorn_chain,antihorn,5,affine,0.9077922077922078,0.02845311987039824,29.4,15.2,4.0,31.6,1.631168831168831,0.0023565358,5
antihorn_chain,antihorn,5,antihorn,0.9480519480519481,0.027929627490398148,22.2,11.6,4.0,21.2,1.742857142857143,0.0010153550000000001,5
antihorn_chain,antihorn,5,horn,0.9142857142857143,0.02572936721579085,21.0,11.0,4.0,20.0,1.648051948051948,0.0009935996000000002,5
antihorn_chain,antihorn,5,square2cnf,0.9480519480519481,0.027929627490398148,20.6,10.8,4.0,39.2,1.742857142857143,0.023837019600000002,5
antihorn_chain,antihorn,5,unary,0.9116883116883117,0.027778246280788874,28.6,14.8,4.0,13.8,1.5623376623376624,0.0003789568,5
antihorn_chain,antihorn,10,affine,0.8974025974025974,0.01801874925391121,29.8,15.4,4.0,31.8,1.6740259740259742,0.002382436,5
antihorn_chain,antihorn,10,antihorn,0.9285714285714286,0.018366409900949256,24.6,12.8,4.0,23.6,1.742857142857143,0.0010994112,5
antihorn_chain,antihorn,10,horn,0.8948051948051947,0.009631426606617774,24.6,12.8,4.0,23.6,1.648051948051948,0.0010172782,5
antihorn_chain,antihorn,10,square2cnf,0.9285714285714286,0.018366409900949256,23.8,12.4,4.0,45.6,1.742857142857143,0.022506865600000002,5
antihorn_chain,antihorn,10,unary,0.9025974025974026,0.010267135260286967,30.6,15.8,4.0,14.8,1.638961038961039,0.0004174010000000001,5
horn_chain,horn,0,affine,0.964935064935065,0.009847890187079891,15.0,8.0,4.0,17.0,1.6454545454545453,0.0014959976,5
horn_chain,horn,0,antihorn,0.9727272727272727,0.016808024812395815,9.8,5.4,4.0,8.8,1.5675324675324673,0.00054583,5
horn_chain,horn,0,horn,1.0,0.0,7.0,4.0,3.0,6.0,1.7103896103896106,0.0004079992,5
horn_chain,horn,0,square2cnf,1.0,0.0,7.0,4.0,3.0,12.0,1.7103896103896106,0.0056129118,5
horn_chain,horn,0,unary,0.9675324675324676,0.012148238268746548,9.0,5.0,4.0,4.0,1.5727272727272728,0.0001648164,5
horn_chain,horn,5,affine,0.9324675324675324,0.009847890187079928,27.0,14.0,4.0,29.0,1.622077922077922,0.0024482672,5
horn_chain,horn,5,antihorn,0.9363636363636363,0.01680802481239581,21.8,11.4,4.0,20.8,1.651948051948052,0.0012112932,5
horn_chain,horn,5,horn,0.9636363636363636,0.015638434517912074,22.2,11.6,4.0,21.2,1.7103896103896106,0.0011167231999999999,5
horn_chain,horn,5,square2cnf,0.9636363636363636,0.015638434517912074,17.4,9.2,4.0,32.8,1.7103896103896106,0.0176463836,5
horn_chain,horn,5,unary,0.9324675324675324,0.009847890187079928,26.2,13.6,4.0,12.6,1.622077922077922,0.0003815756,5
horn_chain,horn,10,affine,0.8753246753246753,0.024034747432885393,30.6,15.8,4.0,32.6,1.6207792207792209,0.0026529894,5
horn_chain,horn,10,antihorn,0.8662337662337662,0.03632883306675157,22.6,11.8,4.0,21.6,1.6272727272727274,0.0011102382,5
horn_chain,horn,10,horn,0.8961038961038961,0.02202055189326387,24.6,12.8,4.0,23.6,1.7103896103896106,0.0011360418,5
horn_chain,horn,10,square2cnf,0.8922077922077921,0.017544488423514713,23.4,12.2,4.0,44.8,1.712987012987013,0.025144580399999998,5
horn_chain,horn,10,unary,0.8753246753246753,0.024034747432885393,30.2,15.6,4.0,14.6,1.6207792207792209,0.000418076,5
horn_simple,horn,0,affine,1.0,0.0,9.0,5.0,3.0,10.0,1.2155844155844155,0.0010819032,5
horn_simple,horn,0,antihorn,1.0,0.0,3.0,2.0,1.0,2.0,1.2155844155844155,0.0002478644,5
horn_simple,horn,0,horn,1.0,0.0,3.0,2.0,1.0,2.0,1.2155844155844155,0.00024513720000000005,5
horn_simple,horn,0,square2cnf,1.0,0.0,3.0,2.0,1.0,4.0,1.2155844155844155,0.0029126842,5
horn_simple,horn,0,unary,1.0,0.0,5.0,3.0,2.0,2.0,1.2155844155844155,0.00012650579999999998,5
horn_simple,horn,5,affine,0.9584415584415584,0.018707610767386924,29.0,15.0,4.0,30.0,1.2155844155844155,0.0025256086,5
horn_simple,horn,5,antihorn,0.9584415584415584,0.018707610767386924,21.4,11.2,4.0,20.4,1.2155844155844155,0.001048523,5
horn_simple,horn,5,horn,0.9584415584415584,0.018707610767386924,21.4,11.2,4.0,20.4,1.2155844155844155,0.0009963692,5
horn_simple,horn,5,square2cnf,0.9584415584415584,0.018707610767386924,21.8,11.4,4.0,41.6,1.2155844155844155,0.020503149199999997,5
horn_simple,horn,5,unary,0.9584415584415584,0.018707610767386924,26.2,13.6,4.0,12.6,1.2155844155844155,0.000369878,5
horn_simple,horn,10,affine,0.8753246753246753,0.010669919951399353,31.0,16.0,4.0,33.2,1.2155844155844155,0.0025649674,5
horn_simple,horn,10,antihorn,0.8727272727272727,0.009847890187079949,22.2,11.6,4.0,21.2,1.277922077922078,0.0011444072,5
horn_simple,horn,10,horn,0.8753246753246753,0.010669919951399353,25.4,13.2,4.0,24.4,1.2155844155844155,0.001155517,5
horn_simple,horn,10,square2cnf,0.8753246753246753,0.010669919951399353,25.0,13.0,4.0,48.0,1.2155844155844155,0.024870579400000002,5
horn_simple,horn,10,unary,0.8753246753246753,0.010669919951399353,30.6,15.8,4.0,14.8,1.2155844155844155,0.00041117000000000004,5
square_form_i,square2cnf,0,affine,1.0,0.0,15.0,8.0,4.0,17.0,2.0,0.0016054984,5
square_form_i,square2cnf,0,antihorn,1.0,0.0,5.0,3.0,2.0,4.0,2.0,0.0004313902,5
square_form_i,square2cnf,0,horn,0.9428571428571428,0.05851366403152635,9.0,5.0,4.0,8.0,2.0740259740259743,0.0005709358,5
square_form_i,square2cnf,0,square2cnf,1.0,0.0,3.0,2.0,1.0,4.0,2.0,0.0030238312,5
square_form_i,square2cnf,0,unary,1.0,0.0,13.0,7.0,4.0,6.0,2.0,0.0002267376,5
square_form_i,square2cnf,5,affine,0.9480519480519481,0.020014331178470714,29.8,15.4,4.0,32.0,2.0,0.0025317194,5
square_form_i,square2cnf,5,antihorn,0.9480519480519481,0.020014331178470714,19.4,10.2,4.0,18.4,2.0,0.001090761,5
square_form_i,square2cnf,5,horn,0.922077922077922,0.036444714806239696,21.8,11.4,4.0,20.8,2.05974025974026,0.0010772866,5
square_form_i,square2cnf,5,square2cnf,0.9480519480519481,0.020014331178470714,19.0,10.0,4.0,36.0,2.0,0.0235813896,5
square_form_i,square2cnf,5,unary,0.9480519480519481,0.020014331178470714,29.4,15.2,4.0,14.2,2.0,0.0004114408,5
square_form_i,square2cnf,10,affine,0.8792207792207792,0.02621640160803424,28.6,14.8,4.0,30.8,2.1,0.0024127242,5
square_form_i,square2cnf,10,antihorn,0.8961038961038961,0.01893166199625097,22.2,11.6,4.0,21.2,2.0,0.0012380104,5
square_form_i,square2cnf,10,horn,0.8064935064935066,0.040914244161099615,25.0,13.0,4.0,24.0,2.3896103896103895,0.0010877534,5
square_form_i,square2cnf,10,square2cnf,0.8831168831168832,0.012987012987012997,23.8,12.4,4.0,45.6,2.1090909090909093,0.0264030192,5
square_form_i,square2cnf,10,unary,0.8961038961038961,0.01893166199625097,31.0,16.0,4.0,15.0,2.0,0.000461579,5
square_form_ii,square2cnf,0,affine,1.0,0.0,17.0,9.0,4.0,19.0,2.0,0.0019182124000000002,5
square_form_ii,square2cnf,0,antihorn,1.0,0.0,7.0,4.0,3.0,6.0,2.0,0.000505369,5
square_form_ii,square2cnf,0,horn,0.92987012987013,0.002903984386363369,9.0,5.0,4.0,8.0,2.081818181818182,0.0006112374000000001,5
square_form_ii,square2cnf,0,square2cnf,1.0,0.0,5.0,3.0,2.0,8.0,2.0,0.006326185199999999,5
square_form_ii,square2cnf,0,unary,1.0,0.0,11.0,6.0,3.0,5.0,2.0,0.0002265742,5
square_form_ii,square2cnf,5,affine,0.9545454545454545,0.024726536057999716,27.8,14.4,4.0,29.8,2.0,0.0023579188,5
square_form_ii,square2cnf,5,antihorn,0.9545454545454545,0.024726536057999716,19.8,10.4,4.0,18.8,2.0,0.0010472796,5
square_form_ii,square2cnf,5,horn,0.8337662337662337,0.04650910280381813,19.4,10.2,4.0,18.4,1.8805194805194805,0.0009734952,5
square_form_ii,square2cnf,5,square2cnf,0.9545454545454545,0.024726536057999716,17.0,9.0,4.0,32.0,2.0,0.0188246038,5
square_form_ii,square2cnf,5,unary,0.9545454545454545,0.024726536057999716,27.8,14.4,4.0,13.4,2.0,0.0004056876,5
square_form_ii,square2cnf,10,affine,0.8805194805194805,0.01980253335321677,30.6,15.8,4.0,33.0,2.0,0.0025795708,5
square_form_ii,square2cnf,10,antihorn,0.8311688311688311,0.010267135260286922,24.2,12.6,4.0,23.2,2.097402597402597,0.001149289,5
square_form_ii,square2cnf,10,horn,0.8805194805194805,0.01980253335321677,23.4,12.2,4.0,22.4,2.0,0.001138421,5
square_form_ii,square2cnf,10,square2cnf,0.8805194805194805,0.01980253335321677,25.0,13.0,4.0,48.0,2.0,0.024682580399999998,5
square_form_ii,square2cnf,10,unary,0.8805194805194805,0.01980253335321677,31.0,16.0,4.0,15.0,2.0,0.0004299848,5
square_form_iii,square2cnf,0,affine,1.0,0.0,15.0,8.0,4.0,17.0,2.0,0.0015896623999999999,5
square_form_iii,square2cnf,0,antihorn,0.9870129870129869,0.029039843863633674,9.0,5.0,4.0,8.0,2.035064935064935,0.000522379,5
square_form_iii,square2cnf,0,horn,1.0,0.0,5.0,3.0,2.0,4.0,2.0,0.0003680288,5
square_form_iii,square2cnf,0,square2cnf,1.0,0.0,3.0,2.0,1.0,4.0,2.0,0.0029992494,5
square_form_iii,square2cnf,0,unary,1.0,0.0,13.0,7.0,4.0,6.0,2.0,0.000232989,5
square_form_iii,square2cnf,5,affine,0.935064935064935,0.010267135260286955,29.0,15.0,4.0,31.6,2.0,0.002454329,5
square_form_iii,square2cnf,5,antihorn,0.9285714285714286,0.014519921931816785,22.6,11.8,4.0,21.6,2.051948051948052,0.001278009,5
square_form_iii,square2cnf,5,horn,0.935064935064935,0.010267135260286955,20.2,10.6,4.0,19.2,2.0,0.0010478994,5
square_form_iii,square2cnf,5,square2cnf,0.9129870129870129,0.03031848709072406,22.2,11.6,4.0,42.4,2.1194805194805193,0.0237270922,5
square_form_iii,square2cnf,5,unary,0.935064935064935,0.010267135260286955,29.8,15.4,4.0,14.4,2.0,0.0004035498,5
square_form_iii,square2cnf,10,affine,0.8896103896103897,0.040028662356941414,29.0,15.0,4.0,31.2,2.0,0.0025223256,5
square_form_iii,square2cnf,10,antihorn,0.8519480519480519,0.046915303553736236,22.6,11.8,4.0,21.6,2.1285714285714286,0.0011162346,5
square_form_iii,square2cnf,10,horn,0.8896103896103897,0.040028662356941414,21.4,11.2,4.0,20.4,2.0,0.0011074952,5
square_form_iii,square2cnf,10,square2cnf,0.8883116883116884,0.039069114172704734,22.6,11.8,4.0,43.2,2.0454545454545454,0.0303657128,5
square_form_iii,square2cnf,10,unary,0.8896103896103897,0.040028662356941414,31.0,16.0,4.0,15.0,2.0,0.0004145126,5
unary,unary,0,affine,1.0,0.0,7.0,4.0,2.0,8.0,1.0,0.0010514924,5
unary,unary,0,antihorn,0.9688311688311689,0.04267967980559737,6.6,3.8,2.8,5.6,1.2519480519480521,0.00041379579999999995,5
unary,unary,0,horn,1.0,0.0,5.0,3.0,2.0,4.0,1.0,0.00031866640000000003,5
unary,unary,0,square2cnf,1.0,0.0,3.0,2.0,1.0,4.0,1.0,0.0028631738,5
unary,unary,0,unary,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0001000908,5
unary,unary,5,affine,0.9376623376623376,0.011796040340639611,26.2,13.6,4.0,28.0,1.0,0.0023150087999999997,5
unary,unary,5,antihorn,0.935064935064935,0.013774807425711936,23.8,12.4,4.0,22.8,1.125974025974026,0.0010840816,5
unary,unary,5,horn,0.8740259740259739,0.019262853213235488,21.0,11.0,4.0,20.0,1.7584415584415585,0.0008897598,5
unary,unary,5,square2cnf,0.9376623376623376,0.011796040340639611,22.6,11.8,4.0,43.2,1.0,0.025776432,5
unary,unary,5,unary,0.9376623376623376,0.011796040340639611,27.8,14.4,4.0,13.4,1.0,0.0003923426,5
unary,unary,10,affine,0.8883116883116884,0.021240814589345645,29.0,15.0,4.0,30.2,1.0,0.0024808804,5
unary,unary,10,antihorn,0.868831168831169,0.030248869347667868,23.0,12.0,4.0,22.0,1.2844155844155845,0.0010730613999999999,5
unary,unary,10,horn,0.8584415584415584,0.04341432376739422,23.4,12.2,4.0,22.4,1.3792207792207791,0.000992583,5
unary,unary,10,square2cnf,0.8883116883116884,0.021240814589345645,24.6,12.8,4.0,47.2,1.0,0.0274167076,5
unary,unary,10,unary,0.8883116883116884,0.021240814589345645,29.4,15.2,4.0,14.2,1.0,0.00039530800000000003,5
