dataset,winner,winner_accuracy,runner_up,runner_up_accuracy,winning_margin,tie_at_best
HTRU_2-bin,unary,0.9761035574594896,square2cnf,0.9754982305829764,0.000605326876513268,0
IndiansDiabetes-bin,unary,0.74,antihorn,0.735,0.0050000000000000044,0
Statlog_satellite-bin,square2cnf,0.9554135338345866,antihorn,0.9503383458646617,0.005075187969924899,0
adult_discretized,affine,0.8527502750275028,square2cnf,0.8524642464246425,0.00028602860286031095,0
anneal,square2cnf,0.8493852459016393,antihorn,0.8473360655737705,0.002049180327868827,0
audiology,horn,0.9553846153846154,square2cnf,0.953846153846154,0.0015384615384613776,0
australian-credit,horn,0.8479591836734693,square2cnf,0.8448979591836734,0.003061224489795955,0
balance-scale-bin,horn,0.9061497326203207,antihorn,0.904812834224599,0.0013368983957217084,0
bank_conv-bin,unary,0.9020280235988201,horn,0.8996312684365781,0.0023967551622419148,0
banknote-bin,square2cnf,0.9901699029126213,horn,0.9854368932038835,0.004733009708737801,0
biodeg-bin,square2cnf,0.8164556962025318,horn,0.8147151898734177,0.0017405063291140443,0
breast-cancer-un,square2cnf,0.9434146341463414,antihorn,0.943170731707317,0.00024390243902439046,0
breast-wisconsin,unary,0.9492682926829268,affine,0.943170731707317,0.0060975609756097615,0
car-un,square2cnf,0.9681467181467183,antihorn,0.9627413127413128,0.005405405405405461,0
car_evaluation-bin,square2cnf,0.9357142857142857,horn,0.9352316602316602,0.00048262548262556493,0
compas_discretized,unary,0.670972972972973,antihorn,0.6681891891891892,0.0027837837837837442,0
diabetes,unary,0.7436956521739131,square2cnf,0.7336956521739131,0.010000000000000009,0
forest-fires-un,unary,0.5432258064516129,affine,0.5370967741935484,0.006129032258064493,0
german-credit,horn,0.7083333333333333,antihorn,0.7070000000000001,0.0013333333333331865,0
heart-cleveland,unary,0.75,affine,0.749438202247191,0.0005617977528089568,0
hepatitis,horn,0.8036585365853659,antihorn,0.8036585365853659,0.0,1
hypothyroid,unary,0.9796201232032855,affine,0.9782854209445585,0.0013347022587270052,0
ionosphere,affine,0.8671428571428571,unary,0.8657142857142857,0.0014285714285714457,0
kr-vs-kp,square2cnf,0.9794056308654848,horn,0.9788321167883212,0.0005735140771636615,0
letter,square2cnf,0.9890416666666667,horn,0.9890333333333332,8.333333333498949e-06,1
letter_recognition-bin,antihorn,0.9955083333333332,square2cnf,0.9954583333333333,4.999999999988347e-05,0
lymph,unary,0.7954545454545455,horn,0.7943181818181818,0.001136363636363713,0
magic04-bin,square2cnf,0.837372940764108,horn,0.833806519453207,0.0035664213109009024,0
messidor-bin,horn,0.6353623188405797,unary,0.6343478260869565,0.0010144927536231974,0
mushroom,horn,0.9998768978251948,antihorn,0.9998768978251948,0.0,1
pendigits,unary,0.9959964412811388,horn,0.9955960854092527,0.00040035587188613775,0
primary-tumor,unary,0.8054455445544555,horn,0.7965346534653465,0.00891089108910903,0
segment,affine,0.9974025974025974,unary,0.9972582972582972,0.00014430014430022453,0
seismic_bumps-bin,unary,0.9133548387096774,horn,0.911483870967742,0.0018709677419354032,0
soybean,antihorn,0.9391534391534391,affine,0.9365079365079365,0.002645502645502562,0
splice-1,unary,0.9548066875653083,horn,0.9542842215256009,0.0005224660397074032,0
taiwan_binarised,unary,0.8207777777777778,horn,0.8203222222222222,0.0004555555555556534,0
tic-tac-toe,horn,0.9175958188153309,unary,0.9156794425087108,0.0019163763066201156,0
titanic-un,horn,0.8101503759398497,square2cnf,0.8093984962406016,0.0007518796992481702,0
vehicle,unary,0.9433070866141732,horn,0.9405511811023622,0.00275590551181093,0
vote,unary,0.9442307692307692,antihorn,0.9373076923076923,0.006923076923076921,0
wine1-un,antihorn,0.7084905660377359,square2cnf,0.7037735849056603,0.004716981132075526,0
wine2-un,antihorn,0.6641509433962264,square2cnf,0.6641509433962264,0.0,1
wine3-un,unary,0.750943396226415,affine,0.7433962264150943,0.007547169811320753,0
winequality-red-bin,unary,0.990625,horn,0.9904166666666667,0.00020833333333325488,0
yeast,horn,0.7141573033707865,antihorn,0.7141573033707865,0.0,1
