dataset,oracle_accuracy,oracle_language,tie_count
HTRU_2-bin,0.9761035574594896,unary,1
IndiansDiabetes-bin,0.74,unary,1
Statlog_satellite-bin,0.9554135338345866,square2cnf,1
adult_discretized,0.8527502750275028,affine,1
anneal,0.8493852459016393,square2cnf,1
audiology,0.9553846153846154,horn,1
australian-credit,0.8479591836734693,horn,1
balance-scale-bin,0.9061497326203207,horn,1
bank_conv-bin,0.9020280235988201,unary,1
banknote-bin,0.9901699029126213,square2cnf,1
biodeg-bin,0.8164556962025318,square2cnf,1
breast-cancer-un,0.9434146341463414,square2cnf,1
breast-wisconsin,0.9492682926829268,unary,1
car-un,0.9681467181467183,square2cnf,1
car_evaluation-bin,0.9357142857142857,square2cnf,1
compas_discretized,0.670972972972973,unary,1
diabetes,0.7436956521739131,unary,1
forest-fires-un,0.5432258064516129,unary,1
german-credit,0.7083333333333333,horn,1
heart-cleveland,0.75,unary,1
hepatitis,0.8036585365853659,horn,3
hypothyroid,0.9796201232032855,unary,1
ionosphere,0.8671428571428571,affine,1
kr-vs-kp,0.9794056308654848,square2cnf,1
letter,0.9890416666666667,square2cnf,3
letter_recognition-bin,0.9955083333333332,antihorn,1
lymph,0.7954545454545455,unary,1
magic04-bin,0.837372940764108,square2cnf,1
messidor-bin,0.6353623188405797,horn,1
mushroom,0.9998768978251948,horn,3
pendigits,0.9959964412811388,unary,1
primary-tumor,0.8054455445544555,unary,1
segment,0.9974025974025974,affine,1
seismic_bumps-bin,0.9133548387096774,unary,1
soybean,0.9391534391534391,antihorn,1
splice-1,0.9548066875653083,unary,1
taiwan_binarised,0.8207777777777778,unary,1
tic-tac-toe,0.9175958188153309,horn,1
titanic-un,0.8101503759398497,horn,1
vehicle,0.9433070866141732,unary,1
vote,0.9442307692307692,unary,1
wine1-un,0.7084905660377359,antihorn,1
wine2-un,0.6641509433962264,antihorn,2
wine3-un,0.750943396226415,unary,1
winequality-red-bin,0.990625,unary,1
yeast,0.7141573033707865,horn,2
